season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Dior Homme,1,https://assets.vogue.com/photos/6a3ba30767e25768bf48fc48/master/w_2560%2Cc_limit/FIO00001.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,2,https://assets.vogue.com/photos/6a3ba306b40a45c312cacec1/master/w_2560%2Cc_limit/FIO00027.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,3,https://assets.vogue.com/photos/6a3ba30767e25768bf48fc43/master/w_2560%2Cc_limit/FIO00037.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,4,https://assets.vogue.com/photos/6a3ba30908421d7a2e4fbc7b/master/w_2560%2Cc_limit/FIO00045.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,5,https://assets.vogue.com/photos/6a3ba30a3da64c8484879c35/master/w_2560%2Cc_limit/FIO00056.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,6,https://assets.vogue.com/photos/6a3ba30a1af678fb9c86e0ea/master/w_2560%2Cc_limit/FIO00067.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,7,https://assets.vogue.com/photos/6a3ba30cc1ad3fd72357996a/master/w_2560%2Cc_limit/FIO00075.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,8,https://assets.vogue.com/photos/6a3ba30c35607c7c7a8bc9cc/master/w_2560%2Cc_limit/FIO00084.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,9,https://assets.vogue.com/photos/6a3ba36a04f4986021cd0fdd/master/w_1280%2Cc_limit/FIO00001.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,10,https://assets.vogue.com/photos/69710085d9830bcb3577a797/master/w_1280%2Cc_limit/00001-dior-men-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,11,https://assets.vogue.com/photos/690dc8d16473da77676f8429/master/w_1280%2Cc_limit/00001-dior-pre-fall%25202026-menswear-credit-brand.jpg,Pre-Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,12,https://assets.vogue.com/photos/685ebd0d6c955c4cc618fe3c/master/w_1280%2Cc_limit/00001-dior-men-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,13,https://assets.vogue.com/photos/6793bd2c093d23e8ad827269/master/w_1280%2Cc_limit/00001-dior-men-fall-2025-menswear-credit-gorunway.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
spring-2027-menswear,Dior Homme,14,https://assets.vogue.com/photos/6757274acc36228d5b1aa902/master/w_1280%2Cc_limit/00001-dior-pre-fall-2025-menswear-credit-brand.jpg,Pre-Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/dior-homme
