season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Duckie Brown,1,https://assets.vogue.com/photos/6a42995862969b8475b29fc5/master/w_2560%2Cc_limit/00001-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,2,https://assets.vogue.com/photos/6a429957248acac4285301ce/master/w_2560%2Cc_limit/00002-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,3,https://assets.vogue.com/photos/6a4299580a69925986ec6d00/master/w_2560%2Cc_limit/00003-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,4,https://assets.vogue.com/photos/6a42995bbfd6c303ed004fd0/master/w_2560%2Cc_limit/00004-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,5,https://assets.vogue.com/photos/6a42995bfded55c8baf48c25/master/w_2560%2Cc_limit/00005-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,6,https://assets.vogue.com/photos/6a42995be567192b8ba60419/master/w_2560%2Cc_limit/00006-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,7,https://assets.vogue.com/photos/6a429994759f129163006196/master/w_1280%2Cc_limit/00001-duckie-brown-spring-2027-menswear-credit-chloe-horseman-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,8,https://assets.vogue.com/photos/68e22469c75a7c8b0a87a001/master/w_1280%2Cc_limit/00001-duckie-brown-spring-2026-menswear-credit-chloe-horsemann-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,9,https://assets.vogue.com/photos/67d440b1a067a3a1ffe6658c/master/w_1280%2Cc_limit/00001-duckie-brown-fall-2025-menswear-credit-chloe-horseman-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,10,https://assets.vogue.com/photos/66f32a271b8bfb438ac42895/master/w_1280%2Cc_limit/00001-duckie-brown-spring-2025-menswear-credit-brand.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,11,https://assets.vogue.com/photos/65e756dc25f17e539a926d87/master/w_1280%2Cc_limit/00001-duckie-brown-fall-2024-menswear-credit-chloe-horseman.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
spring-2027-menswear,Duckie Brown,12,https://assets.vogue.com/photos/6512fcb82add8d432d576049/master/w_1280%2Cc_limit/00001-duckie-brown-spring-2024-menswear-credit-brand.jpg,Spring 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/duckie-brown
