season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Giorgio Armani,1,https://assets.vogue.com/photos/6a3978c2ddec5f877c243714/master/w_2560%2Cc_limit/00001-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,2,https://assets.vogue.com/photos/6a3978c12004d480d796fc43/master/w_2560%2Cc_limit/00002-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,3,https://assets.vogue.com/photos/6a3978c175480937fc0012be/master/w_2560%2Cc_limit/00003-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,4,https://assets.vogue.com/photos/6a3978c522a20bc05d1e4496/master/w_2560%2Cc_limit/00004-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,5,https://assets.vogue.com/photos/6a3978c51a93911a5a88b89e/master/w_2560%2Cc_limit/00005-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,6,https://assets.vogue.com/photos/6a3978c63426df27bdb3e989/master/w_2560%2Cc_limit/00006-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,7,https://assets.vogue.com/photos/6a397f4735607c7c7a8bbee1/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_01.jpg,Beauty Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,8,https://assets.vogue.com/photos/6a397f4bb7498a8e498501f6/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_02.jpg,Beauty Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,9,https://assets.vogue.com/photos/6a397f4b08262b0a28465323/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_03.jpg,Beauty Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,10,https://assets.vogue.com/photos/6a397f4a4b2060275198b5b8/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_04.jpg,Beauty Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,11,https://assets.vogue.com/photos/6a397f4d7cba7c0674f0dfc6/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_05.jpg,Beauty Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,12,https://assets.vogue.com/photos/6a397f50c166d6fb9f53b6b0/master/w_2560%2Cc_limit/0626_GIORGIO_ss27_Backstage_aceille_06.jpg,Beauty Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,13,https://assets.vogue.com/photos/6a3a91037cba7c0674f0e7d6/master/w_1280%2Cc_limit/00001-giorgio-armani-resort-2027-credit-gorunway.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,14,https://assets.vogue.com/photos/6a397a813d37a4e8a67449e8/master/w_1280%2Cc_limit/00001-giorgio-armani-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,15,https://assets.vogue.com/photos/69a431ac31916aaad7de1657/master/w_1280%2Cc_limit/00001-giorgio-armani-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,16,https://assets.vogue.com/photos/696e2c7280ab009b0771985f/master/w_1280%2Cc_limit/00001-giorgio-armani-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,17,https://assets.vogue.com/photos/68dd25dffce22dc8ce098caf/master/w_1280%2Cc_limit/00001-giorgio-armani-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
spring-2027-menswear,Giorgio Armani,18,https://assets.vogue.com/photos/685950550b84d3d0c575bfb3/master/w_1280%2Cc_limit/00001-giorgio-armani-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/giorgio-armani
