season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Junya Watanabe,1,https://assets.vogue.com/photos/6a3e51913da64c848487b6e5/master/w_2560%2Cc_limit/00001-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,2,https://assets.vogue.com/photos/6a3e5191d4f75b1bdcba2a2e/master/w_2560%2Cc_limit/00002-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,3,https://assets.vogue.com/photos/6a3e5192d0a935866037d374/master/w_2560%2Cc_limit/00003-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,4,https://assets.vogue.com/photos/6a3e5198bfd6c303ed0039d8/master/w_2560%2Cc_limit/00004-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,5,https://assets.vogue.com/photos/6a3e5198d0a935866037d37e/master/w_2560%2Cc_limit/00005-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,6,https://assets.vogue.com/photos/6a3e51983fa645671e4ddc1e/master/w_2560%2Cc_limit/00006-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,7,https://assets.vogue.com/photos/6a3e519b4786d6e0bbaad72a/master/w_2560%2Cc_limit/00007-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,8,https://assets.vogue.com/photos/6a3e519d4562d742e6062e08/master/w_2560%2Cc_limit/00008-junya-watanabe-spring-2027-menswear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,9,https://assets.vogue.com/photos/6a3e3dbbdb236ded1d5d5fff/master/w_1280%2Cc_limit/ISI00019.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,10,https://assets.vogue.com/photos/69ac0cde8c686e37bb3957b9/master/w_1280%2Cc_limit/00001-junya-watanabe-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,11,https://assets.vogue.com/photos/69735c8944112e15c490cd74/master/w_1280%2Cc_limit/00001-junya-watanabe-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,12,https://assets.vogue.com/photos/68e0f63165f8a95d93f7bec7/master/w_1280%2Cc_limit/00001-junya-watanabe-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,13,https://assets.vogue.com/photos/685e6eaa2218a7f3c01100dd/master/w_1280%2Cc_limit/00001-junya-watanabe-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
spring-2027-menswear,Junya Watanabe,14,https://assets.vogue.com/photos/67cc26093465fedb0bd01461/master/w_1280%2Cc_limit/00001-junya-watanabe-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/junya-watanabe
