season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Kidsuper,1,https://assets.vogue.com/photos/6a3e458ec9e57d20ee95167c/master/w_2560%2Cc_limit/00001-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,2,https://assets.vogue.com/photos/6a3e458dd3ae4b0de636f853/master/w_2560%2Cc_limit/00002-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,3,https://assets.vogue.com/photos/6a3e458ec7f0e3e0eb7b6a43/master/w_2560%2Cc_limit/00003-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,4,https://assets.vogue.com/photos/6a3e4591db236ded1d5d6011/master/w_2560%2Cc_limit/00004-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,5,https://assets.vogue.com/photos/6a3e4594224a1b3d1a614163/master/w_2560%2Cc_limit/00005-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,6,https://assets.vogue.com/photos/6a3e4596c7f0e3e0eb7b6a49/master/w_2560%2Cc_limit/00006-kidsuper-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,7,https://assets.vogue.com/photos/6a3e4579c7f0e3e0eb7b6a3d/master/w_1280%2Cc_limit/00001-kidsuper-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,8,https://assets.vogue.com/photos/69751e656ac3910889e4ab84/master/w_1280%2Cc_limit/00001-kidsuper-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,9,https://assets.vogue.com/photos/68604e0e7d0fb97ea4de6622/master/w_1280%2Cc_limit/00001-kid-super-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,10,https://assets.vogue.com/photos/679564857e246975f4a85de7/master/w_1280%2Cc_limit/00001-kidsuper-fall-2025-menswear-credit-gorunway.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,11,https://assets.vogue.com/photos/667700f8c8ef8347c96ed4e8/master/w_1280%2Cc_limit/FIO00143.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
spring-2027-menswear,Kidsuper,12,https://assets.vogue.com/photos/6659898ced98f69fb801cb18/master/w_1280%2Cc_limit/00001-kidsuper-spring-2021-mens-credit-brand.jpg,Spring 2021 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/kidsuper
