season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Loro Piana,1,https://assets.vogue.com/photos/6ab3e830c85088c57cbd71c1/master/w_2560%2Cc_limit/00001-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,2,https://assets.vogue.com/photos/6ab3e82f960621234e4f8193/master/w_2560%2Cc_limit/00002-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,3,https://assets.vogue.com/photos/6ab3e8348e1ad3c053e90c76/master/w_2560%2Cc_limit/00003-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,4,https://assets.vogue.com/photos/6ab3e833165cd105d2a6a581/master/w_2560%2Cc_limit/00004-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,5,https://assets.vogue.com/photos/6ab3e8342de19bf7e3d73806/master/w_2560%2Cc_limit/00005-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,6,https://assets.vogue.com/photos/6ab3e837b6e2c67246a15d7c/master/w_2560%2Cc_limit/00006-loro-piana-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,7,https://assets.vogue.com/photos/6ab3e89cddd57250e5eb4133/master/w_2560%2Cc_limit/00001-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,8,https://assets.vogue.com/photos/6ab3e89d470e67174cf57dd1/master/w_2560%2Cc_limit/00002-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,9,https://assets.vogue.com/photos/6ab3e8a1012f42ecefd7e644/master/w_2560%2Cc_limit/00003-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,10,https://assets.vogue.com/photos/6ab3e8a1960621234e4f819e/master/w_2560%2Cc_limit/00004-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,11,https://assets.vogue.com/photos/6ab3e8a13a0ce3dfa40ec50d/master/w_2560%2Cc_limit/00005-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,12,https://assets.vogue.com/photos/6ab3e8a5ce4c8e686d649166/master/w_2560%2Cc_limit/00006-loro-piana-spring-2027-menswear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,13,https://assets.vogue.com/photos/6ab3e7f6df91bde3537098dd/master/w_1280%2Cc_limit/00001-loro-piana-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,14,https://assets.vogue.com/photos/6ab3e883cb7ec6d5f192e5ed/master/w_1280%2Cc_limit/00001-loro-piana-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,15,https://assets.vogue.com/photos/699ecfe4011ee84fdc78fdac/master/w_1280%2Cc_limit/00001-loro-piana-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,16,https://assets.vogue.com/photos/699ec1c4d6bcf0ce7cd8ad1a/master/w_1280%2Cc_limit/00001-loro-piana-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,17,https://assets.vogue.com/photos/68d64b3c2660551128d417b8/master/w_1280%2Cc_limit/00001-loro-piana-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
spring-2027-menswear,Loro Piana,18,https://assets.vogue.com/photos/68d3e27d19e3822de6736ad0/master/w_1280%2Cc_limit/00001-loro-piana-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/loro-piana
