season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Louis Vuitton,1,https://assets.vogue.com/photos/6a3b7a0a3fa645671e4dc8c9/master/w_2560%2Cc_limit/00001-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,2,https://assets.vogue.com/photos/6a3b7a0a815d9fad91f1b091/master/w_2560%2Cc_limit/00002-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,3,https://assets.vogue.com/photos/6a3b7a0ae9675e56c177b184/master/w_2560%2Cc_limit/00003-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,4,https://assets.vogue.com/photos/6a3b7a0ee9675e56c177b18b/master/w_2560%2Cc_limit/00004-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,5,https://assets.vogue.com/photos/6a3b7a0e1ffac9999c51da93/master/w_2560%2Cc_limit/00005-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,6,https://assets.vogue.com/photos/6a3b7a0e6f89b55907072521/master/w_2560%2Cc_limit/00006-louis-vuitton-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,7,https://assets.vogue.com/photos/6a3b77fbcc68b1e41520d9cc/master/w_2560%2Cc_limit/00001-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,8,https://assets.vogue.com/photos/6a3b77fbc1ad3fd72357981b/master/w_2560%2Cc_limit/00002-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,9,https://assets.vogue.com/photos/6a3b77fbd4f75b1bdcba0b12/master/w_2560%2Cc_limit/00003-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,10,https://assets.vogue.com/photos/6a3b77fee7349c94ffbe5526/master/w_2560%2Cc_limit/00004-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,11,https://assets.vogue.com/photos/6a3b77fed0a935866037b94a/master/w_2560%2Cc_limit/00005-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,12,https://assets.vogue.com/photos/6a3b77ffd1ddba749507b673/master/w_2560%2Cc_limit/00006-louis-vuitton-spring-2027-menswear-details-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,13,https://assets.vogue.com/photos/6a3ae1fcb40a45c312cac8bc/master/w_1280%2Cc_limit/OBY00074.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,14,https://assets.vogue.com/photos/6a0339f962af9f53e72c0dea/master/w_1280%2Cc_limit/00001-louis-vuitton-resort-2027-menswear-credit-brand.jpg,Resort 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,15,https://assets.vogue.com/photos/6a0eacc63fb55e68f7ab6031/master/w_1280%2Cc_limit/00001-louis-vuitton-resort-2027-credit-gorunway.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,16,https://assets.vogue.com/photos/69b0580eb2a48f818375bd20/master/w_1280%2Cc_limit/00001-louis-vuitton-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,17,https://assets.vogue.com/photos/697000df4ba6ab794e2eb107/master/w_1280%2Cc_limit/00001-louis-vuitton-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
spring-2027-menswear,Louis Vuitton,18,https://assets.vogue.com/photos/69306aebdd5be9a5e7676968/master/w_1280%2Cc_limit/00001-louis-vuitton-pre-fall-2026-menswear-credit-brand.jpg,Pre-Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/louis-vuitton
