season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Missoni,1,https://assets.vogue.com/photos/6a35989fc6743ac336910651/master/w_2560%2Cc_limit/00001-missoni-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,2,https://assets.vogue.com/photos/6a3598a03cfefa8b7014359f/master/w_2560%2Cc_limit/00002-missoni-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,3,https://assets.vogue.com/photos/6a3598a037587b72561540ea/master/w_2560%2Cc_limit/00003-missoni-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,4,https://assets.vogue.com/photos/6a3598a2c1ad3fd72357781e/master/w_2560%2Cc_limit/00004-missoni-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,5,https://assets.vogue.com/photos/6a3598a34d5a693e400fe3eb/master/w_2560%2Cc_limit/00005-missoni-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,6,https://assets.vogue.com/photos/6a3598a4ddec5f877c242b16/master/w_2560%2Cc_limit/00006-missoni-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,7,https://assets.vogue.com/photos/6a35987c2f996aea7fc45cf0/master/w_1280%2Cc_limit/00003-missoni-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,8,https://assets.vogue.com/photos/6a35977904f4986021ccf5a7/master/w_1280%2Cc_limit/00001-missoni-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,9,https://assets.vogue.com/photos/699f4bb0a2de5b2447a7c261/master/w_1280%2Cc_limit/00001-missoni-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,10,https://assets.vogue.com/photos/6926d9b745e3dbda6589236b/master/w_1280%2Cc_limit/00001-missoni-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,11,https://assets.vogue.com/photos/68d4290d672d0be51a5259ed/master/w_1280%2Cc_limit/00001-missoni-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
spring-2027-menswear,Missoni,12,https://assets.vogue.com/photos/68308f495b82ee79ba72fac9/master/w_1280%2Cc_limit/00001-missoni-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/missoni
