season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Msgm,1,https://assets.vogue.com/photos/6a3650e8c7ac1b738a57927f/master/w_2560%2Cc_limit/00001-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,2,https://assets.vogue.com/photos/6a3650e85b5b3454062a4419/master/w_2560%2Cc_limit/00002-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,3,https://assets.vogue.com/photos/6a3650e875480937fc000368/master/w_2560%2Cc_limit/00003-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,4,https://assets.vogue.com/photos/6a3650eba39154d4ff5ee37a/master/w_2560%2Cc_limit/00004-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,5,https://assets.vogue.com/photos/6a3650ebc1ad3fd72357790a/master/w_2560%2Cc_limit/00005-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,6,https://assets.vogue.com/photos/6a3650ebc7ac1b738a579286/master/w_2560%2Cc_limit/00006-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,7,https://assets.vogue.com/photos/6a365167b7498a8e4984f708/master/w_1280%2Cc_limit/00001-msgm-spring-2027-menswear-credit-kevin-rashid-giaquinto-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,8,https://assets.vogue.com/photos/69a3604799cdc6bf80705927/master/w_1280%2Cc_limit/00001-msgm-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,9,https://assets.vogue.com/photos/69693e00f9fb2d9c3459ec4d/master/w_1280%2Cc_limit/00002-msgm-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,10,https://assets.vogue.com/photos/6969275d585f0072b75ade59/master/w_1280%2Cc_limit/00001-msgm-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,11,https://assets.vogue.com/photos/68d82eedb107d0926e97b1f7/master/w_1280%2Cc_limit/00001-msgm-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
spring-2027-menswear,Msgm,12,https://assets.vogue.com/photos/6854154f0b9a8eb11f4155ba/master/w_1280%2Cc_limit/00001-msgm-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/msgm
