season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Public School,1,https://assets.vogue.com/photos/6aa35f10392f8a01d45fcfb3/master/w_2560%2Cc_limit/00001-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,2,https://assets.vogue.com/photos/6aa35f10e2f297f8fdd5377e/master/w_2560%2Cc_limit/00002-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,3,https://assets.vogue.com/photos/6aa35f10363673b648e177ac/master/w_2560%2Cc_limit/00003-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,4,https://assets.vogue.com/photos/6aa35f13a45807271a6acfc6/master/w_2560%2Cc_limit/00004-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,5,https://assets.vogue.com/photos/6aa35f127c83ba5648eb1c4e/master/w_2560%2Cc_limit/00005-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,6,https://assets.vogue.com/photos/6aa35f1318a8f3e42435185a/master/w_2560%2Cc_limit/00006-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,7,https://assets.vogue.com/photos/6aa35f14aabed8b1b2630824/master/w_2560%2Cc_limit/00007-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,8,https://assets.vogue.com/photos/6aa35f15460e2d9796e72549/master/w_2560%2Cc_limit/00008-public-school-spring-2027-menswear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,9,https://assets.vogue.com/photos/6aa35f91adfafb51252fa204/master/w_1280%2Cc_limit/00001-public-school-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,10,https://assets.vogue.com/photos/698da9bb5a8647c1883e0300/master/w_1280%2Cc_limit/00001-public-school-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,11,https://assets.vogue.com/photos/59b55f0c7ed6ea084ceaeec3/master/w_1280%2Cc_limit/_PUB0267.jpg,Spring 2018 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,12,https://assets.vogue.com/photos/593988458a6ba30e8cccd017/master/w_1280%2Cc_limit/07-Public-School-Resort-18.jpg,Resort 2018,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,13,https://assets.vogue.com/photos/58a08f46817efe1869289182/master/w_1280%2Cc_limit/_LLL4451.jpg,Fall 2017 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
spring-2027-menswear,Public School,14,https://assets.vogue.com/photos/5852bf44a6984b8c49fabb35/master/w_1280%2Cc_limit/01-public-school-prefall-2017.jpg,Pre-Fall 2017,https://www.vogue.com/fashion-shows/spring-2027-menswear/public-school
