season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Rhude,1,https://assets.vogue.com/photos/6a3eec44bfd6c303ed0046dd/master/w_2560%2Cc_limit/00001-rhude-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,2,https://assets.vogue.com/photos/6a3eec4544c3ebaf6f340488/master/w_2560%2Cc_limit/00002-rhude-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,3,https://assets.vogue.com/photos/6a3eec45f5759b66eaf3062a/master/w_2560%2Cc_limit/00003-rhude-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,4,https://assets.vogue.com/photos/6a3eec47d3ae4b0de6370624/master/w_2560%2Cc_limit/00004-rhude-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,5,https://assets.vogue.com/photos/6a3eec48d1ddba749507eb15/master/w_2560%2Cc_limit/00005-rhude-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,6,https://assets.vogue.com/photos/6a3eec48e7349c94ffbe754e/master/w_2560%2Cc_limit/00006-rhude-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,7,https://assets.vogue.com/photos/6a3eec8b1af678fb9c87006b/master/w_1280%2Cc_limit/00001-rhude-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,8,https://assets.vogue.com/photos/698f913d595dc36c7d38f6da/master/w_1280%2Cc_limit/00001-rhude-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,9,https://assets.vogue.com/photos/689255fa58ccb4e6adfc97fd/master/w_1280%2Cc_limit/00001-rhude-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,10,https://assets.vogue.com/photos/67b3049fd740c06c4532f0d6/master/w_1280%2Cc_limit/00001-rhude-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,11,https://assets.vogue.com/photos/66a0bf4c34607fee0e3be2db/master/w_1280%2Cc_limit/00001-rhude-spring-2025-menswear-credit-brand.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
spring-2027-menswear,Rhude,12,https://assets.vogue.com/photos/65ad756d5d2a20a7b1f4d6a9/master/w_1280%2Cc_limit/00001-rhude-fall-2024-menswear-credit-gorunway.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rhude
