season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Rolf Ekroth,1,https://assets.vogue.com/photos/6a3d9387c166d6fb9f53de3b/master/w_2560%2Cc_limit/00001-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,2,https://assets.vogue.com/photos/6a3d93871a93911a5a88e56d/master/w_2560%2Cc_limit/00002-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,3,https://assets.vogue.com/photos/6a3d9387d72c282589092eb3/master/w_2560%2Cc_limit/00003-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,4,https://assets.vogue.com/photos/6a3d938a81a477f96a082089/master/w_2560%2Cc_limit/00004-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,5,https://assets.vogue.com/photos/6a3d9389bf8d114e6dbaf8a7/master/w_2560%2Cc_limit/00005-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,6,https://assets.vogue.com/photos/6a3d938bd3ae4b0de636f3a7/master/w_2560%2Cc_limit/00006-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,7,https://assets.vogue.com/photos/6a3d93c2f3e7e6451dfad3d0/master/w_1280%2Cc_limit/00001-rolf-ekroth-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,8,https://assets.vogue.com/photos/696e16a047ff00cbdff46380/master/w_1280%2Cc_limit/00001-rolf-ekroth-fall-2026-menswear-credit-kristian-presnal-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,9,https://assets.vogue.com/photos/6892529bd9c6d6a67a39a593/master/w_1280%2Cc_limit/00001-rolf-ekroth-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,10,https://assets.vogue.com/photos/679935048c756a61df36f21f/master/w_1280%2Cc_limit/00001-rolf-ekroth-fall-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,11,https://assets.vogue.com/photos/66b1d975d849c8c3e0a86807/master/w_1280%2Cc_limit/00001-rolf-ekroth-spring-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2025,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
spring-2027-menswear,Rolf Ekroth,12,https://assets.vogue.com/photos/65b8d9e7c1ecbf256180eaf4/master/w_1280%2Cc_limit/00001-rolf-ekroth-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2024,https://www.vogue.com/fashion-shows/spring-2027-menswear/rolf-ekroth
