season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Saint Laurent,1,https://assets.vogue.com/photos/6a3af535d3ae4b0de636dc4d/master/w_2560%2Cc_limit/00001-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,2,https://assets.vogue.com/photos/6a3af536cf1779c1e5d54984/master/w_2560%2Cc_limit/00002-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,3,https://assets.vogue.com/photos/6a3af5361ad57a5d4030966d/master/w_2560%2Cc_limit/00003-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,4,https://assets.vogue.com/photos/6a3af5394b2060275198bf6b/master/w_2560%2Cc_limit/00004-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,5,https://assets.vogue.com/photos/6a3af539f3e7e6451dfabf1d/master/w_2560%2Cc_limit/00005-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,6,https://assets.vogue.com/photos/6a3af539f5759b66eaf2d2b8/master/w_2560%2Cc_limit/00006-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,7,https://assets.vogue.com/photos/6a3af5923cfefa8b70145179/master/w_1280%2Cc_limit/00001-saint-laurent-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,8,https://assets.vogue.com/photos/6a05fd0fd5e9373e0f3b224f/master/w_1280%2Cc_limit/00001-saint-laurent-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,9,https://assets.vogue.com/photos/69a81eb2b22958e1d8d294cb/master/w_1280%2Cc_limit/00001-saint-laurent-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,10,https://assets.vogue.com/photos/6979372fcf58fa8f09f6091e/master/w_1280%2Cc_limit/ALE00024.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,11,https://assets.vogue.com/photos/690a30f35a2b9779c6497863/master/w_1280%2Cc_limit/00001-saint-laurent-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
spring-2027-menswear,Saint Laurent,12,https://assets.vogue.com/photos/68daeee7551e7fcb7103fd33/master/w_1280%2Cc_limit/_ALE0021.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/saint-laurent
