season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Soshiotsuki,1,https://assets.vogue.com/photos/6a402c78db236ded1d5d6f2d/master/w_2560%2Cc_limit/00001-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,2,https://assets.vogue.com/photos/6a402c781c05fc7ccf19c875/master/w_2560%2Cc_limit/00002-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,3,https://assets.vogue.com/photos/6a402c78ab1ea863a734d72d/master/w_2560%2Cc_limit/00003-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,4,https://assets.vogue.com/photos/6a402c7c13b40960bb81c8a1/master/w_2560%2Cc_limit/00004-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,5,https://assets.vogue.com/photos/6a402c7ddb236ded1d5d6f34/master/w_2560%2Cc_limit/00005-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,6,https://assets.vogue.com/photos/6a402c7e8236cf03d68ab4c5/master/w_2560%2Cc_limit/00006-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,7,https://assets.vogue.com/photos/6a402c308a1499b9ed897819/master/w_1280%2Cc_limit/00001-soshiotsuki-spring-2027-menswear-credit-gorunway.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,8,https://assets.vogue.com/photos/69690f2a9f594ca0c0c7db92/master/w_1280%2Cc_limit/00001-soshiotsuki-fall-2026-menswear-credit-gorunwayt.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,9,https://assets.vogue.com/photos/688c8475810e2fb0d36a9feb/master/w_1280%2Cc_limit/00001-soshiotsuki-spring-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,10,https://assets.vogue.com/photos/67b34fd5239323390a0a8578/master/w_1280%2Cc_limit/00001-soshiotsuki-fall-2025-menswear-tokyo-credit-brand.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,11,https://assets.vogue.com/photos/669a273ec295d6f8678d8693/master/w_1280%2Cc_limit/00001-soshiotsuki-spring-25-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2025,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
spring-2027-menswear,Soshiotsuki,12,https://assets.vogue.com/photos/65f5b85c7ce4715f1d61213a/master/w_1280%2Cc_limit/00001-soshiotsuki-fall-2024-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Fall 2024,https://www.vogue.com/fashion-shows/spring-2027-menswear/soshiotsuki
