season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Umit Benan,1,https://assets.vogue.com/photos/6a36c300a9a579ed974f6317/master/w_2560%2Cc_limit/00001-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,2,https://assets.vogue.com/photos/6a36c3008f8f6aa9569180a2/master/w_2560%2Cc_limit/00002-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,3,https://assets.vogue.com/photos/6a36c300c6f2179511f439f2/master/w_2560%2Cc_limit/00003-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,4,https://assets.vogue.com/photos/6a36c303a39154d4ff5ee498/master/w_2560%2Cc_limit/00004-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,5,https://assets.vogue.com/photos/6a36c30437587b7256154336/master/w_2560%2Cc_limit/00005-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,6,https://assets.vogue.com/photos/6a36c303c19df43570c335fb/master/w_2560%2Cc_limit/00006-umit-benan-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,7,https://assets.vogue.com/photos/6a36c37483dbe49b67556725/master/w_1280%2Cc_limit/00001-umit-benan-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,8,https://assets.vogue.com/photos/696a0e735b4054d82a03579b/master/w_1280%2Cc_limit/00001-umit-benan-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,9,https://assets.vogue.com/photos/6852d20ff00b2df124dfbb40/master/w_1280%2Cc_limit/00001-umit-benan-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,10,https://assets.vogue.com/photos/678b7c8a531b2883941c9613/master/w_1280%2Cc_limit/00001-umit-benan-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,11,https://assets.vogue.com/photos/66ee90d3b840e3e2d3331f9e/master/w_1280%2Cc_limit/00001-umit-benan-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
spring-2027-menswear,Umit Benan,12,https://assets.vogue.com/photos/66fbc0a3070077b0c0671dca/master/w_1280%2Cc_limit/00001-umit-benan-fall-2024-menswear-credit-brand.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/umit-benan
