season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Wales Bonner,1,https://assets.vogue.com/photos/6a3c2fcc67e25768bf490449/master/w_2560%2Cc_limit/00001-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,2,https://assets.vogue.com/photos/6a3c2fccd69100dab637f3cc/master/w_2560%2Cc_limit/00002-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,3,https://assets.vogue.com/photos/6a3c2fcc3a2bde2c88e6c155/master/w_2560%2Cc_limit/00003-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,4,https://assets.vogue.com/photos/6a3c2fcf3a2bde2c88e6c15b/master/w_2560%2Cc_limit/00004-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,5,https://assets.vogue.com/photos/6a3c2fcf4a680d32c1714875/master/w_2560%2Cc_limit/00005-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,6,https://assets.vogue.com/photos/6a3c2fd0815d9fad91f1bad8/master/w_2560%2Cc_limit/00006-wales-bonner-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,7,https://assets.vogue.com/photos/6a3c2f80d3ae4b0de636e6cf/master/w_2560%2Cc_limit/00012a-wales-bonner-spring-2027-menswear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,8,https://assets.vogue.com/photos/6a3c2f801c05fc7ccf199d99/master/w_2560%2Cc_limit/00015a-wales-bonner-spring-2027-menswear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,9,https://assets.vogue.com/photos/6a3c30f54b2060275198c94a/master/w_1280%2Cc_limit/00001-wales-bonner-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,10,https://assets.vogue.com/photos/696d560f93636b704aeead50/master/w_1280%2Cc_limit/00001-wales-bonner-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,11,https://assets.vogue.com/photos/685c42ec4d1c7c21700c44f4/master/w_1280%2Cc_limit/00001-wales-bonner-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,12,https://assets.vogue.com/photos/67c8b89b79c054099bbb250e/master/w_1280%2Cc_limit/00001-wales-bonner-fall-2025-ready-to-wear-credit-zoe-ghertner-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,13,https://assets.vogue.com/photos/679257c9b2007acd0d186aca/master/w_1280%2Cc_limit/00001-wales-bonner-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
spring-2027-menswear,Wales Bonner,14,https://assets.vogue.com/photos/668d13b19231a12974be3f30/master/w_1280%2Cc_limit/00001-wales-bonner-spring-2025-menswear-credit-gorunway.jpg,Spring 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/wales-bonner
