season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Yohji Yamamoto,1,https://assets.vogue.com/photos/6a3d6d0f1e3a070a13527cdf/master/w_2560%2Cc_limit/00001-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,2,https://assets.vogue.com/photos/6a3d6d104786d6e0bbaad154/master/w_2560%2Cc_limit/00002-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,3,https://assets.vogue.com/photos/6a3d6d0fbf8d114e6dbaf112/master/w_2560%2Cc_limit/00003-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,4,https://assets.vogue.com/photos/6a3d6d12db236ded1d5d58f7/master/w_2560%2Cc_limit/00004-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,5,https://assets.vogue.com/photos/6a3d6d121a93911a5a88e04f/master/w_2560%2Cc_limit/00005-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,6,https://assets.vogue.com/photos/6a3d6d12b40a45c312cae203/master/w_2560%2Cc_limit/00006-yohji-yamamoto-spring-2027-menswear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,7,https://assets.vogue.com/photos/6a3d7cfca2306c15bdb2d278/master/w_2560%2Cc_limit/00001-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,8,https://assets.vogue.com/photos/6a3d7cfc4a680d32c17150d2/master/w_2560%2Cc_limit/00002-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,9,https://assets.vogue.com/photos/6a3d7cfcc166d6fb9f53dd48/master/w_2560%2Cc_limit/00003-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,10,https://assets.vogue.com/photos/6a3d7cff4562d742e6062830/master/w_2560%2Cc_limit/00004-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,11,https://assets.vogue.com/photos/6a3d7cff5435d76bc8052961/master/w_2560%2Cc_limit/00005-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,12,https://assets.vogue.com/photos/6a3d7cff8236cf03d68a998c/master/w_2560%2Cc_limit/00006-yohji-yamamoto-spring-2027-menswear-detail-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,13,https://assets.vogue.com/photos/6a3d50e5e55aa569bef944f8/master/w_1280%2Cc_limit/FIO00021.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,14,https://assets.vogue.com/photos/69ab434beae9e9ed6126d836/master/w_1280%2Cc_limit/00001-yohji-yamamoto-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,15,https://assets.vogue.com/photos/697274660fb5b0989cf6cea4/master/w_1280%2Cc_limit/00001-yohji-yamamoto-fall-2026-menswear-credit-gorunway.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,16,https://assets.vogue.com/photos/68e0279939a01419ae036681/master/w_1280%2Cc_limit/00001-yohji-yamamoto-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,17,https://assets.vogue.com/photos/685d9d8913575a8d447fbf9d/master/w_1280%2Cc_limit/00001-yohji-yamamoto-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
spring-2027-menswear,Yohji Yamamoto,18,https://assets.vogue.com/photos/67cb630e083535052162904d/master/w_1280%2Cc_limit/00001-yohji-yamamoto-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/yohji-yamamoto
