season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Adam Lippes,1,https://assets.vogue.com/photos/6aa195367741b75163deeb7a/master/w_2560%2Cc_limit/00001-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,2,https://assets.vogue.com/photos/6aa19536558733f7cd138e4a/master/w_2560%2Cc_limit/00002-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,3,https://assets.vogue.com/photos/6aa195367f3332be592f5189/master/w_2560%2Cc_limit/00003-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,4,https://assets.vogue.com/photos/6aa19538a6779e07228d20c9/master/w_2560%2Cc_limit/00004-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,5,https://assets.vogue.com/photos/6aa19538a6779e07228d20cd/master/w_2560%2Cc_limit/00005-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,6,https://assets.vogue.com/photos/6aa19539ebf49d0aee619713/master/w_2560%2Cc_limit/00006-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,7,https://assets.vogue.com/photos/6aa1c909afe9493e7d68cd39/master/w_2560%2Cc_limit/00001a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,8,https://assets.vogue.com/photos/6aa1c9093ff5b8b373552b9e/master/w_2560%2Cc_limit/00002a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,9,https://assets.vogue.com/photos/6aa1c909e19fc9b52cafb1bd/master/w_2560%2Cc_limit/00004a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,10,https://assets.vogue.com/photos/6aa1c90ad6712a9f7989a132/master/w_2560%2Cc_limit/00005a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,11,https://assets.vogue.com/photos/6aa1c90bb710a9cf6b6218a5/master/w_2560%2Cc_limit/00007a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,12,https://assets.vogue.com/photos/6aa1c90bb710a9cf6b6218aa/master/w_2560%2Cc_limit/00009a-adam-lippes-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,13,https://assets.vogue.com/photos/6aa193cf5a5a4c25a6a7226d/master/w_1280%2Cc_limit/00001-adam-lippes-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,14,https://assets.vogue.com/photos/6a20387155cfabb025d34871/master/w_1280%2Cc_limit/00001-adam-lippes-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,15,https://assets.vogue.com/photos/69932572699b8d2775ce4c7d/master/w_1280%2Cc_limit/00001-adam-lippes-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,16,https://assets.vogue.com/photos/69394a0b8d7eec09388c0649/master/w_1280%2Cc_limit/00001-adam-lippes-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,17,https://assets.vogue.com/photos/68c44347fe839688832ed461/master/w_1280%2Cc_limit/00001-adam-lippes-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
spring-2027-ready-to-wear,Adam Lippes,18,https://assets.vogue.com/photos/68432c3fcc0f4f3ad3878524/master/w_1280%2Cc_limit/00001-adam-lippes-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/adam-lippes
