season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Aletta,1,https://assets.vogue.com/photos/6aad88752fbb360b9cf2f4fb/master/w_2560%2Cc_limit/00001-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,2,https://assets.vogue.com/photos/6aad8875ab185f432a231216/master/w_2560%2Cc_limit/00002-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,3,https://assets.vogue.com/photos/6aad88760b3dc4119d6d063b/master/w_2560%2Cc_limit/00003-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,4,https://assets.vogue.com/photos/6aad8879fc505bb742c14e21/master/w_2560%2Cc_limit/00004-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,5,https://assets.vogue.com/photos/6aad8879bd7ace7c649ae450/master/w_2560%2Cc_limit/00005-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,6,https://assets.vogue.com/photos/6aad8879f41bac2a0c229934/master/w_2560%2Cc_limit/00006-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,7,https://assets.vogue.com/photos/6aad887c7f67cdf46557c8af/master/w_2560%2Cc_limit/00007-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,8,https://assets.vogue.com/photos/6aad887d7afcf8f18ce5aa24/master/w_2560%2Cc_limit/00008-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,9,https://assets.vogue.com/photos/6aad883b961fe9770edd15df/master/w_2560%2Cc_limit/00002a-a-letter-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,10,https://assets.vogue.com/photos/6aad883bcc9baf40826e5bbb/master/w_2560%2Cc_limit/00017a-a-letter-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,11,https://assets.vogue.com/photos/6aad883ab336e556ffde8eff/master/w_2560%2Cc_limit/00019a-a-letter-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,12,https://assets.vogue.com/photos/6aad88f5438b723e970961fb/master/w_1280%2Cc_limit/00001-a-letter-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,13,https://assets.vogue.com/photos/69987675178fb73c9382e80d/master/w_1280%2Cc_limit/00001-a-letter-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
spring-2027-ready-to-wear,Aletta,14,https://assets.vogue.com/photos/68cc3620e8a174fa7cf6cd3f/master/w_1280%2Cc_limit/00001-aletta-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/aletta
