season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Antonio Marras,1,https://assets.vogue.com/photos/6ab3b355c85088c57cbd705c/master/w_2560%2Cc_limit/OBY00019.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,2,https://assets.vogue.com/photos/6ab3b4e8c1635249ff965777/master/w_2560%2Cc_limit/OBY00046.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,3,https://assets.vogue.com/photos/6ab3b4ea32bbecb4e09434c3/master/w_2560%2Cc_limit/OBY00072.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,4,https://assets.vogue.com/photos/6ab3b4ebce4c8e686d648a17/master/w_2560%2Cc_limit/OBY00090.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,5,https://assets.vogue.com/photos/6ab3b4edaddc67abd613eb18/master/w_2560%2Cc_limit/OBY00110.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,6,https://assets.vogue.com/photos/6ab3b4ef075a24caf7708fc8/master/w_2560%2Cc_limit/OBY00132.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,7,https://assets.vogue.com/photos/6ab3b4f0629dd7e86da7d721/master/w_2560%2Cc_limit/OBY00154.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,8,https://assets.vogue.com/photos/6ab3b4f16375a57126f6e293/master/w_2560%2Cc_limit/OBY00177.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,9,https://assets.vogue.com/photos/6ab3b355c85088c57cbd705c/master/w_1280%2Cc_limit/OBY00019.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,10,https://assets.vogue.com/photos/699eecdd84c4e7d62b99ed4c/master/w_1280%2Cc_limit/OBY00029.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,11,https://assets.vogue.com/photos/68d407caa8235e4beb663aba/master/w_1280%2Cc_limit/00001-antonio-marras-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,12,https://assets.vogue.com/photos/68401b56bd8f79fef3739b57/master/w_1280%2Cc_limit/00001-antonio-marras-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,13,https://assets.vogue.com/photos/67bf5ab5322032a58c51022c/master/w_1280%2Cc_limit/00001-antonio-marras-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
spring-2027-ready-to-wear,Antonio Marras,14,https://assets.vogue.com/photos/67920d3a8d2a6acfa33b55da/master/w_1280%2Cc_limit/00001-antonio-marras-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/antonio-marras
