season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Area,1,https://assets.vogue.com/photos/6aa6d62d2ccdbefb0b103457/master/w_2560%2Cc_limit/00001-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,2,https://assets.vogue.com/photos/6aa6d62df0a75abf762ce5df/master/w_2560%2Cc_limit/00002-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,3,https://assets.vogue.com/photos/6aa6d62df0a75abf762ce5dd/master/w_2560%2Cc_limit/00003-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,4,https://assets.vogue.com/photos/6aa6d62f8592e5e172970a7c/master/w_2560%2Cc_limit/00004-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,5,https://assets.vogue.com/photos/6aa6d62fff2ba69db446729d/master/w_2560%2Cc_limit/00005-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,6,https://assets.vogue.com/photos/6aa6d62f6ac2bee91ce53273/master/w_2560%2Cc_limit/00006-area-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,7,https://assets.vogue.com/photos/6aa6e3822fd5fff7bc64543f/master/w_2560%2Cc_limit/00001-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,8,https://assets.vogue.com/photos/6aa6e382134937fdf6b02bb0/master/w_2560%2Cc_limit/00002-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,9,https://assets.vogue.com/photos/6aa6e381d5403d5a6092b16a/master/w_2560%2Cc_limit/00003-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,10,https://assets.vogue.com/photos/6aa6e3922fd5fff7bc645446/master/w_2560%2Cc_limit/00004-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,11,https://assets.vogue.com/photos/6aa6e397c097c29fe012550f/master/w_2560%2Cc_limit/00005-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
spring-2027-ready-to-wear,Area,12,https://assets.vogue.com/photos/6aa6e3982ccb01af79d58ec1/master/w_2560%2Cc_limit/00006-area-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/area
