season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Ashlyn,1,https://assets.vogue.com/photos/6aa5d0422bbd593cadd330ff/master/w_2560%2Cc_limit/00001-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,2,https://assets.vogue.com/photos/6aa5d0422e929cd40d935b4f/master/w_2560%2Cc_limit/00002-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,3,https://assets.vogue.com/photos/6aa5d0424d6fce885ab47708/master/w_2560%2Cc_limit/00003-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,4,https://assets.vogue.com/photos/6aa5d0445f6162147e97692f/master/w_2560%2Cc_limit/00004-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,5,https://assets.vogue.com/photos/6aa5d0448c91e1e1e24ca50a/master/w_2560%2Cc_limit/00005-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,6,https://assets.vogue.com/photos/6aa5d0448cc832c7525651cd/master/w_2560%2Cc_limit/00006-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,7,https://assets.vogue.com/photos/6aa5d0461cc5e31996bbbc19/master/w_2560%2Cc_limit/00007-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,8,https://assets.vogue.com/photos/6aa5d046fd58de7d2d38f3eb/master/w_2560%2Cc_limit/00008-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,9,https://assets.vogue.com/photos/6aa5dc61403b4a115dfba0bc/master/w_2560%2Cc_limit/00001-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,10,https://assets.vogue.com/photos/6aa5dc61fd58de7d2d38f506/master/w_2560%2Cc_limit/00002-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,11,https://assets.vogue.com/photos/6aa5dc611cc5e31996bbbd12/master/w_2560%2Cc_limit/00003-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,12,https://assets.vogue.com/photos/6aa5dc646631dbf6ddf7bb29/master/w_2560%2Cc_limit/00004-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,13,https://assets.vogue.com/photos/6aa5dc642bbd593cadd33241/master/w_2560%2Cc_limit/00005-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,14,https://assets.vogue.com/photos/6aa5dc64ed11fcdcdecbd26c/master/w_2560%2Cc_limit/00006-ashlyn-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
spring-2027-ready-to-wear,Ashlyn,15,https://assets.vogue.com/photos/6aa5d0d939653c76a6dbead4/master/w_1280%2Cc_limit/00001-ashlyn-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ashlyn
