season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Attersee,1,https://assets.vogue.com/photos/6aa2eaaea90a5a5de215d83f/master/w_2560%2Cc_limit/00001-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,2,https://assets.vogue.com/photos/6aa2eaaeadfafb51252f9678/master/w_2560%2Cc_limit/00002-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,3,https://assets.vogue.com/photos/6aa2eaae55279b93539cf2bb/master/w_2560%2Cc_limit/00003-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,4,https://assets.vogue.com/photos/6aa2eab018f4ab56359fff5b/master/w_2560%2Cc_limit/00004-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,5,https://assets.vogue.com/photos/6aa2eab0efed75b401ae2c4e/master/w_2560%2Cc_limit/00005-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,6,https://assets.vogue.com/photos/6aa2eab1a01a3ec44611db71/master/w_2560%2Cc_limit/00006-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,7,https://assets.vogue.com/photos/6aa2ea8462ac4bccd163f848/master/w_2560%2Cc_limit/00009a-attersee-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,8,https://assets.vogue.com/photos/6aa2ea84d9aaad0340c3214f/master/w_2560%2Cc_limit/00013a-attersee-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,9,https://assets.vogue.com/photos/6aa2ea85cb2a389b0338c160/master/w_2560%2Cc_limit/00019a-attersee-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,10,https://assets.vogue.com/photos/6aa2eb2a1a385fd350d832d0/master/w_1280%2Cc_limit/00001-attersee-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,11,https://assets.vogue.com/photos/698d1a6a467f316c4d74e170/master/w_1280%2Cc_limit/00001-attersee-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
spring-2027-ready-to-wear,Attersee,12,https://assets.vogue.com/photos/68c3043fff744fd797162317/master/w_1280%2Cc_limit/00001-attersee-spring-2026-ready-to-wear-credit-deo-suveera-pamela-dimitrov-.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/attersee
