season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Bcbg Max Azria,1,https://assets.vogue.com/photos/6aaa83cc566e444de1722107/master/w_2560%2Cc_limit/00001-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,2,https://assets.vogue.com/photos/6aaa83cccf25a70b748aa69d/master/w_2560%2Cc_limit/00002-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,3,https://assets.vogue.com/photos/6aaa83ccfec75642ae6df81e/master/w_2560%2Cc_limit/00003-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,4,https://assets.vogue.com/photos/6aaa83d02de0a2c0fbdb7179/master/w_2560%2Cc_limit/00004-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,5,https://assets.vogue.com/photos/6aaa83d0ddde682467820fb9/master/w_2560%2Cc_limit/00005-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,6,https://assets.vogue.com/photos/6aaa83d02de0a2c0fbdb717f/master/w_2560%2Cc_limit/00006-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,7,https://assets.vogue.com/photos/6aaa83d4229028011dec3df3/master/w_2560%2Cc_limit/00007-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,8,https://assets.vogue.com/photos/6aaa83d4e3d4f7c4f163e72c/master/w_2560%2Cc_limit/00008-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,9,https://assets.vogue.com/photos/6aaa855631d1677bd94102fb/master/w_2560%2Cc_limit/00001-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,10,https://assets.vogue.com/photos/6aaa855615b78bc322f15e2a/master/w_2560%2Cc_limit/00002-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,11,https://assets.vogue.com/photos/6aaa8556566e444de1722124/master/w_2560%2Cc_limit/00003-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,12,https://assets.vogue.com/photos/6aaa855ac37f7b06a41277c5/master/w_2560%2Cc_limit/00004-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,13,https://assets.vogue.com/photos/6aaa855af532f217fecd5ac2/master/w_2560%2Cc_limit/00005-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,14,https://assets.vogue.com/photos/6aaa855aa6558a6a860151ce/master/w_2560%2Cc_limit/00006-bcbgmaxazria-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,15,https://assets.vogue.com/photos/6aaa85dfc2a8f49f79f5fb1f/master/w_1280%2Cc_limit/00001-bcbgmaxazria-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,16,https://assets.vogue.com/photos/699f0c2e6699db22ad313231/master/w_1280%2Cc_limit/00001-BCBGMAXAZRIA-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,17,https://assets.vogue.com/photos/68c960e7ee1156860a87c64c/master/w_1280%2Cc_limit/00001-bcbgmaxazria-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,18,https://assets.vogue.com/photos/67a1e5e6c6c0972ed4671d5b/master/w_1280%2Cc_limit/00001-bcbg-max-azria-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,19,https://assets.vogue.com/photos/5a7e51b2c95be86dd46fc55f/master/w_1280%2Cc_limit/01-bcbgmaxazria-fall-winter-2018.jpg,Fall 2018 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
spring-2027-ready-to-wear,Bcbg Max Azria,20,https://assets.vogue.com/photos/577141abd7b4aeda348f5d8e/master/w_1280%2Cc_limit/01-bcbg-2017.jpg,Resort 2017,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/bcbg-max-azria
