season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Cdlm,1,https://assets.vogue.com/photos/6aa43ecdd4a0661153cfccc2/master/w_2560%2Cc_limit/00001-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,2,https://assets.vogue.com/photos/6aa43ecdf7c57b5f8f83f44f/master/w_2560%2Cc_limit/00002-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,3,https://assets.vogue.com/photos/6aa43ecd4c6acbb5b954f907/master/w_2560%2Cc_limit/00003-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,4,https://assets.vogue.com/photos/6aa43ed1e8b2e8d417606b99/master/w_2560%2Cc_limit/00004-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,5,https://assets.vogue.com/photos/6aa43ed086e33d8f0eddd691/master/w_2560%2Cc_limit/00005-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,6,https://assets.vogue.com/photos/6aa43ed1fc20567998dc1b0c/master/w_2560%2Cc_limit/00006-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,7,https://assets.vogue.com/photos/6aa43e19d4a0661153cfccbc/master/w_2560%2Cc_limit/00001a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,8,https://assets.vogue.com/photos/6aa43e1967fe11be1afa8bcc/master/w_2560%2Cc_limit/00004a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,9,https://assets.vogue.com/photos/6aa43e19fc20567998dc1b01/master/w_2560%2Cc_limit/00006a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,10,https://assets.vogue.com/photos/6aa43e1d365ed169eaddb606/master/w_2560%2Cc_limit/00007a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,11,https://assets.vogue.com/photos/6aa9c998faa5ce0c6948ad68/master/w_2560%2Cc_limit/00008a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,12,https://assets.vogue.com/photos/6aa43e1d251b042262c62835/master/w_2560%2Cc_limit/00012a-cdlm-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,13,https://assets.vogue.com/photos/6aa43fe14c6acbb5b954f91f/master/w_1280%2Cc_limit/00001-cdlm-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,14,https://assets.vogue.com/photos/65a914aabea32d15892853ee/master/w_1280%2Cc_limit/00001-cdlm-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,15,https://assets.vogue.com/photos/6388bd0f416dc5e50ef2d15e/master/w_1280%2Cc_limit/00001-cdlm-pre-fall-2023-credit-justin-leveritt.jpg,Pre-Fall 2023,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,16,https://assets.vogue.com/photos/62c6a5bfe13aff9c2ed5408e/master/w_1280%2Cc_limit/00001-cdlm-resort-2023-credit-justin-leveritt.jpg,Resort 2023,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,17,https://assets.vogue.com/photos/6137bae2598e49fed3cc18ca/master/w_1280%2Cc_limit/_FIO0110.jpg,Spring 2022 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
spring-2027-ready-to-wear,Cdlm,18,https://assets.vogue.com/photos/60cb5b704b12a701e3d2eafa/master/w_1280%2Cc_limit/00001-CDLM-Resort-2022-credit-brand.jpg,Resort 2022,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/cdlm
