season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Charlotte Knowles,1,https://assets.vogue.com/photos/6aaecf5ab3ec3bf9972d274a/master/w_2560%2Cc_limit/00001-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,2,https://assets.vogue.com/photos/6aaecf5a98bc5a45ddda5ce5/master/w_2560%2Cc_limit/00002-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,3,https://assets.vogue.com/photos/6aaecf5ad9479350e7b544a9/master/w_2560%2Cc_limit/00003-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,4,https://assets.vogue.com/photos/6aaecf5d49ed0cff3a1faaba/master/w_2560%2Cc_limit/00004-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,5,https://assets.vogue.com/photos/6aaecf5de506d44f9ab0a0fb/master/w_2560%2Cc_limit/00005-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,6,https://assets.vogue.com/photos/6aaecf5ddf385a417280a3ce/master/w_2560%2Cc_limit/00006-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,7,https://assets.vogue.com/photos/6aaecfbc60823f991da7afdc/master/w_1280%2Cc_limit/00001-knwls-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,8,https://assets.vogue.com/photos/6996f2bb4dbc6f8982055690/master/w_1280%2Cc_limit/00001-knwls-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,9,https://assets.vogue.com/photos/68d458b1a4be1615d2eb8839/master/w_1280%2Cc_limit/00001-knwls-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,10,https://assets.vogue.com/photos/67c87e09676b261bbd48b5cd/master/w_1280%2Cc_limit/00001-knwls-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,11,https://assets.vogue.com/photos/66e7441bc42a7bcf7217eaf6/master/w_1280%2Cc_limit/00001-knwls-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
spring-2027-ready-to-wear,Charlotte Knowles,12,https://assets.vogue.com/photos/65d361b5573b96e3977d7b97/master/w_1280%2Cc_limit/00001-knwls-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/charlotte-knowles
