season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Coach,1,https://assets.vogue.com/photos/6aa24ea707b669198d51aad2/master/w_2560%2Cc_limit/00001-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,2,https://assets.vogue.com/photos/6aa24ea6175cc0202011d642/master/w_2560%2Cc_limit/00002-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,3,https://assets.vogue.com/photos/6aa24ea642c24f2db8b4170b/master/w_2560%2Cc_limit/00003-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,4,https://assets.vogue.com/photos/6aa24ea8397dc387b11d88e1/master/w_2560%2Cc_limit/00004-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,5,https://assets.vogue.com/photos/6aa24ea8e19fc9b52cafb79e/master/w_2560%2Cc_limit/00005-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,6,https://assets.vogue.com/photos/6aa24ea942c24f2db8b41712/master/w_2560%2Cc_limit/00006-coach-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,7,https://assets.vogue.com/photos/6aa24f80175cc0202011d6b5/master/w_2560%2Cc_limit/00001-coach-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,8,https://assets.vogue.com/photos/6aa24f819eb84a00dc48e83e/master/w_2560%2Cc_limit/00002-coach-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,9,https://assets.vogue.com/photos/6aa24f80e385c44ef3e2be77/master/w_2560%2Cc_limit/00003-coach-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
spring-2027-ready-to-wear,Coach,10,https://assets.vogue.com/photos/6aa24f8307b669198d51ab2d/master/w_2560%2Cc_limit/00004-coach-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/coach
