season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Di Petsa,1,https://assets.vogue.com/photos/6ab1304e268de95daa8d17d8/master/w_2560%2Cc_limit/00001-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,2,https://assets.vogue.com/photos/6ab1304e15a363a4f9921e2d/master/w_2560%2Cc_limit/00002-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,3,https://assets.vogue.com/photos/6ab1304ecc1f33b9cd8b3763/master/w_2560%2Cc_limit/00003-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,4,https://assets.vogue.com/photos/6ab130527b46a6671760b2db/master/w_2560%2Cc_limit/00004-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,5,https://assets.vogue.com/photos/6ab13053f3cfc53daa0bfc18/master/w_2560%2Cc_limit/00005-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,6,https://assets.vogue.com/photos/6ab13053dd0395772cc086fb/master/w_2560%2Cc_limit/00006-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,7,https://assets.vogue.com/photos/6ab13056c5d259fd37c609de/master/w_2560%2Cc_limit/00007-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,8,https://assets.vogue.com/photos/6ab13059a0bd64002059c08f/master/w_2560%2Cc_limit/00008-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,9,https://assets.vogue.com/photos/6ab130f7fda447dcaf1694b7/master/w_1280%2Cc_limit/00001-di-petsa-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,10,https://assets.vogue.com/photos/699c68e21a82d19111ce3064/master/w_1280%2Cc_limit/00001-di-petsa-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,11,https://assets.vogue.com/photos/68cd76a54d50b930ab7746b5/master/w_1280%2Cc_limit/00001-di-petsa-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,12,https://assets.vogue.com/photos/67b8dad63206d9b03def0ff1/master/w_1280%2Cc_limit/00001-di-petsa-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,13,https://assets.vogue.com/photos/66e4275bcc5ce7a178648654/master/w_1280%2Cc_limit/00001-di-petsa-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
spring-2027-ready-to-wear,Di Petsa,14,https://assets.vogue.com/photos/65d37a1b8067a5d267c331ea/master/w_1280%2Cc_limit/00001-di-petsa-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/di-petsa
