season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Diane Von Furstenberg,1,https://assets.vogue.com/photos/6aa2c727fc0fa2f82809f2ec/master/w_2560%2Cc_limit/00001-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,2,https://assets.vogue.com/photos/6aa2c72776b1913dd8e9677b/master/w_2560%2Cc_limit/00002-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,3,https://assets.vogue.com/photos/6aa2c727cdd9bd0c0d34262c/master/w_2560%2Cc_limit/00003-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,4,https://assets.vogue.com/photos/6aa2c72e7e4a4952f450d47f/master/w_2560%2Cc_limit/00004-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,5,https://assets.vogue.com/photos/6aa2c72e31afee36bb0b4b4a/master/w_2560%2Cc_limit/00005-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,6,https://assets.vogue.com/photos/6aa2c72efc0fa2f82809f2f3/master/w_2560%2Cc_limit/00006-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,7,https://assets.vogue.com/photos/6aa2c82fd3dbb53afa0ca282/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,8,https://assets.vogue.com/photos/69a705ce4163cc4538c36183/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,9,https://assets.vogue.com/photos/68c1e43625b3ebf897732360/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,10,https://assets.vogue.com/photos/6842aa12998e794390196d7a/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,11,https://assets.vogue.com/photos/679f877c098428d3551bfc52/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
spring-2027-ready-to-wear,Diane Von Furstenberg,12,https://assets.vogue.com/photos/6526d2ca8d024afe7d4c009f/master/w_1280%2Cc_limit/00001-diane-von-furstenberg-resort-2024-credit-brand.jpg,Resort 2024,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diane-von-furstenberg
