season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Diesel,1,https://assets.vogue.com/photos/6ab39f4d2586e6b46d452a54/master/w_2560%2Cc_limit/00001-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,2,https://assets.vogue.com/photos/6ab39f4db341ebae22bf0486/master/w_2560%2Cc_limit/00002-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,3,https://assets.vogue.com/photos/6ab39f5014ccbd52b9827444/master/w_2560%2Cc_limit/00003-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,4,https://assets.vogue.com/photos/6ab39f50b928a1250c97a39a/master/w_2560%2Cc_limit/00004-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,5,https://assets.vogue.com/photos/6ab39f50ae5a9336d9973e14/master/w_2560%2Cc_limit/00005-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,6,https://assets.vogue.com/photos/6ab39f55587f6e3c29fe2613/master/w_2560%2Cc_limit/00006-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,7,https://assets.vogue.com/photos/6ab3a181d5a7e278bc3a7e7a/master/w_2560%2Cc_limit/00001-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,8,https://assets.vogue.com/photos/6ab3a181c5cdea54f62ad27f/master/w_2560%2Cc_limit/00002-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,9,https://assets.vogue.com/photos/6ab3a1802c272d27ff2ea2dd/master/w_2560%2Cc_limit/00003-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,10,https://assets.vogue.com/photos/6ab3a184922df252b2fcf833/master/w_2560%2Cc_limit/00004-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,11,https://assets.vogue.com/photos/6ab3a1852a54eecdc3df4980/master/w_2560%2Cc_limit/00005-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,12,https://assets.vogue.com/photos/6ab3a185cdca9880a4d5b98d/master/w_2560%2Cc_limit/00006-diesel-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,13,https://assets.vogue.com/photos/6ab3a056ae5a9336d9973e2b/master/w_1280%2Cc_limit/00001-diesel-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,14,https://assets.vogue.com/photos/6a1ff25cc3a9eab0b9983dc9/master/w_1280%2Cc_limit/00000-diesel-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,15,https://assets.vogue.com/photos/699e1d5731d309942895253b/master/w_1280%2Cc_limit/00001-diesel-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,16,https://assets.vogue.com/photos/691daa1650ab3f6acc5a2b19/master/w_1280%2Cc_limit/00001-diesel-prefall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,17,https://assets.vogue.com/photos/68d43104f0d62ac7a1136f0a/master/w_1280%2Cc_limit/00001-diesel-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
spring-2027-ready-to-wear,Diesel,18,https://assets.vogue.com/photos/68358fa0c38c8b48a74ea48e/master/w_1280%2Cc_limit/_00001a-diesel-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/diesel
