season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Donna Karan,1,https://assets.vogue.com/photos/6a97efad74873430a108aefc/master/w_2560%2Cc_limit/00001-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,2,https://assets.vogue.com/photos/6a97efad00c012ac388bc424/master/w_2560%2Cc_limit/00002-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,3,https://assets.vogue.com/photos/6a97efae8aa3a498cb384024/master/w_2560%2Cc_limit/00003-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,4,https://assets.vogue.com/photos/6a97efaf6bdb5b2099fd0903/master/w_2560%2Cc_limit/00004-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,5,https://assets.vogue.com/photos/6a97efaf16a5f2cd90346afd/master/w_2560%2Cc_limit/00005-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,6,https://assets.vogue.com/photos/6a97efb0e97d60826a2afe3d/master/w_2560%2Cc_limit/00006-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,7,https://assets.vogue.com/photos/6a97ef9c0a29a037a58f119b/master/w_1280%2Cc_limit/00001-donna-karan-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,8,https://assets.vogue.com/photos/69823265968e1b428c3864a2/master/w_1280%2Cc_limit/00001-donna-karan-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,9,https://assets.vogue.com/photos/68b80212c1b72eb480f53d2f/master/w_1280%2Cc_limit/00001-donna-karan-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,10,https://assets.vogue.com/photos/67a260e3f3026adf436cf4bf/master/w_1280%2Cc_limit/00001-donna-karan-new-york-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,11,https://assets.vogue.com/photos/6717ca93f177a605e3fae16e/master/w_1280%2Cc_limit/00001-donna-karan-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
spring-2027-ready-to-wear,Donna Karan,12,https://assets.vogue.com/photos/55c650b708298d8be214f156/master/w_1280%2Cc_limit/donna-karan-001-1366.jpg,Resort 2016,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/donna-karan
