season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Durazzi,1,https://assets.vogue.com/photos/6ab3e1dd75a8286d88b7a813/master/w_2560%2Cc_limit/00001-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,2,https://assets.vogue.com/photos/6ab3e1dd69056719069270ea/master/w_2560%2Cc_limit/00002-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,3,https://assets.vogue.com/photos/6ab3e1dddf91bde353709831/master/w_2560%2Cc_limit/00003-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,4,https://assets.vogue.com/photos/6ab3e1dfdbce94314f9550a6/master/w_2560%2Cc_limit/00004-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,5,https://assets.vogue.com/photos/6ab3e1de8623499d724ed31d/master/w_2560%2Cc_limit/00005-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,6,https://assets.vogue.com/photos/6ab3e1dfe1dd8e43704d389f/master/w_2560%2Cc_limit/00006-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,7,https://assets.vogue.com/photos/6ab3e24503ab96cc1a767785/master/w_1280%2Cc_limit/00001-durazzi-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,8,https://assets.vogue.com/photos/699c6a9c6e3fe210393a48d8/master/w_1280%2Cc_limit/00001-durazzi-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,9,https://assets.vogue.com/photos/68d90e6fb88e43341e39f62c/master/w_1280%2Cc_limit/00001-durazzi-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
spring-2027-ready-to-wear,Durazzi,10,https://assets.vogue.com/photos/67bed568c2d462fbbca1916f/master/w_1280%2Cc_limit/00001-durazzi-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/durazzi
