season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Elena Velez,1,https://assets.vogue.com/photos/6aa66f9402b9c16156ad5077/master/w_2560%2Cc_limit/00001-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,2,https://assets.vogue.com/photos/6aa66f9499741b7f914c6fbc/master/w_2560%2Cc_limit/00002-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,3,https://assets.vogue.com/photos/6aa66f94fcd6536429f73013/master/w_2560%2Cc_limit/00003-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,4,https://assets.vogue.com/photos/6aa66f9799741b7f914c6fc3/master/w_2560%2Cc_limit/00004-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,5,https://assets.vogue.com/photos/6aa66f9665c911e083310d3e/master/w_2560%2Cc_limit/00005-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,6,https://assets.vogue.com/photos/6aa66f968592e5e172970938/master/w_2560%2Cc_limit/00006-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,7,https://assets.vogue.com/photos/6aa66f99ff2ba69db44671dd/master/w_2560%2Cc_limit/00007-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,8,https://assets.vogue.com/photos/6aa66f992ccb01af79d58d14/master/w_2560%2Cc_limit/00008-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,9,https://assets.vogue.com/photos/6aa66fddc5240ea50945136d/master/w_1280%2Cc_limit/00001-elena-velez-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,10,https://assets.vogue.com/photos/698e911cd7d7ffbfb79dc797/master/w_1280%2Cc_limit/00001-elena-velez-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,11,https://assets.vogue.com/photos/68c9ff280463ee43065ccd67/master/w_1280%2Cc_limit/00001-elena-velez-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,12,https://assets.vogue.com/photos/67a94b5667ae00164722d2c6/master/w_1280%2Cc_limit/_OBY0052.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,13,https://assets.vogue.com/photos/66e16d7093fec9ff2da3e456/master/w_1280%2Cc_limit/00001-elena-velez-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
spring-2027-ready-to-wear,Elena Velez,14,https://assets.vogue.com/photos/65ca531a94640cd1a453fb35/master/w_1280%2Cc_limit/00001-elena-velez-fall-2024-ready-to-wear-credit-jason-renaud.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/elena-velez
