season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Emilia Wickstead,1,https://assets.vogue.com/photos/6aafbda3aa9893a8ec628c00/master/w_2560%2Cc_limit/00001-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,2,https://assets.vogue.com/photos/6aafbda2a14e44b3abf281fa/master/w_2560%2Cc_limit/00002-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,3,https://assets.vogue.com/photos/6aafbda3a506dd7ad1767e96/master/w_2560%2Cc_limit/00003-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,4,https://assets.vogue.com/photos/6aafbda4caa4a98dd52d4711/master/w_2560%2Cc_limit/00004-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,5,https://assets.vogue.com/photos/6aafbda5a64195eaab0b4447/master/w_2560%2Cc_limit/00005-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,6,https://assets.vogue.com/photos/6aafbda5d71a0f2fa8efbb1d/master/w_2560%2Cc_limit/00006-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,7,https://assets.vogue.com/photos/6aafbd199705b01c9168aa72/master/w_2560%2Cc_limit/00036-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,8,https://assets.vogue.com/photos/6aafbd19dd0395772cc080fe/master/w_2560%2Cc_limit/00037-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,9,https://assets.vogue.com/photos/6aafbeb09705b01c9168aa78/master/w_1280%2Cc_limit/00001-emilia-wickstead-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,10,https://assets.vogue.com/photos/6a1db65a57094818ece9df79/master/w_1280%2Cc_limit/00001-emilia-wickstead-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,11,https://assets.vogue.com/photos/699b27124f7871d18eac88ac/master/w_1280%2Cc_limit/00001-emilia-wickstead-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,12,https://assets.vogue.com/photos/6939799e1ac39a525750a74b/master/w_1280%2Cc_limit/00001-emilia-wickstead-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,13,https://assets.vogue.com/photos/68d01ac9025090ae63c55f60/master/w_1280%2Cc_limit/00001-emilia-wickstead-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
spring-2027-ready-to-wear,Emilia Wickstead,14,https://assets.vogue.com/photos/683728c8c81a822af30b2610/master/w_1280%2Cc_limit/00001-emilia-wickstead-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emilia-wickstead
