season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Emporio Armani,1,https://assets.vogue.com/photos/6ab567bb6a03a5525c7c7640/master/w_2560%2Cc_limit/00001-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,2,https://assets.vogue.com/photos/6ab567bc02a433e13f3b6fae/master/w_2560%2Cc_limit/00002-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,3,https://assets.vogue.com/photos/6ab567bb8a326f4df3797960/master/w_2560%2Cc_limit/00003-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,4,https://assets.vogue.com/photos/6ab567bd6e73ee112f59aaa0/master/w_2560%2Cc_limit/00004-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,5,https://assets.vogue.com/photos/6ab567bdea17a870b74c8519/master/w_2560%2Cc_limit/00005-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,6,https://assets.vogue.com/photos/6ab567bd4e38b16974262bff/master/w_2560%2Cc_limit/00006-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,7,https://assets.vogue.com/photos/6ab569c26a03a5525c7c7661/master/w_1280%2Cc_limit/00001-emporio-armani-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,8,https://assets.vogue.com/photos/69a09ed7c1d40c993eff2984/master/w_1280%2Cc_limit/00001-emporio-armani-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,9,https://assets.vogue.com/photos/68d56e4310e9278f2e43d842/master/w_1280%2Cc_limit/00001-emporio-armani-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,10,https://assets.vogue.com/photos/6859579d720533c8c0f4a3e7/master/w_1280%2Cc_limit/00021-emporio-armani-spring-2026-menswear-credit-gorunway.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,11,https://assets.vogue.com/photos/67c078318bac80a6cca62646/master/w_1280%2Cc_limit/_OBY0012.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
spring-2027-ready-to-wear,Emporio Armani,12,https://assets.vogue.com/photos/678c1207846e25e4bb65a70d/master/w_1280%2Cc_limit/00001-emporio-armani-fall-2025-menswear-credit-gorunway.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/emporio-armani
