season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Genny,1,https://assets.vogue.com/photos/6ab4e7a102a433e13f3b6ccb/master/w_2560%2Cc_limit/UMB00030.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,2,https://assets.vogue.com/photos/6ab4e7a3ade60422c08761ed/master/w_2560%2Cc_limit/UMB00051.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,3,https://assets.vogue.com/photos/6ab4e85de37ba4d871321345/master/w_2560%2Cc_limit/UMB00074.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,4,https://assets.vogue.com/photos/6ab4e85ee1dd8e43704d44d0/master/w_2560%2Cc_limit/UMB00099.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,5,https://assets.vogue.com/photos/6ab4e8605a9ef0a2d1f67e20/master/w_2560%2Cc_limit/UMB00121.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,6,https://assets.vogue.com/photos/6ab4e86290c017bcf55da396/master/w_2560%2Cc_limit/UMB00148.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,7,https://assets.vogue.com/photos/6ab4e86428dc51eb5f79106a/master/w_2560%2Cc_limit/UMB00180.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,8,https://assets.vogue.com/photos/6ab4e866da8ff5a62a341845/master/w_2560%2Cc_limit/UMB00207.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,9,https://assets.vogue.com/photos/6ab4e7a102a433e13f3b6ccb/master/w_1280%2Cc_limit/UMB00030.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,10,https://assets.vogue.com/photos/69a08dda59dc90ed42f38312/master/w_1280%2Cc_limit/00001-genny-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,11,https://assets.vogue.com/photos/68d684a54b8dc5d2be21c3f0/master/w_1280%2Cc_limit/00001-genny-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,12,https://assets.vogue.com/photos/6849909b406c739b8b129ef6/master/w_1280%2Cc_limit/00001-genny-resort-2026-spons-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,13,https://assets.vogue.com/photos/67c0dc3c50ea11271afb58f7/master/w_1280%2Cc_limit/00001-genny-fall-2025-ready-to-wear-credit-brand-spon.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
spring-2027-ready-to-wear,Genny,14,https://assets.vogue.com/photos/66ec6b14ff23b66273632446/master/w_1280%2Cc_limit/00001-genny-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/genny
