season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Imitation Of Christ,1,https://assets.vogue.com/photos/6aa45020c3d42955bbcc2d77/master/w_2560%2Cc_limit/00001-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,2,https://assets.vogue.com/photos/6aa4502053a8a9db8c96c7ae/master/w_2560%2Cc_limit/00002-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,3,https://assets.vogue.com/photos/6aa45020f7c57b5f8f83f636/master/w_2560%2Cc_limit/00003-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,4,https://assets.vogue.com/photos/6aa45022d2a76a0530089f14/master/w_2560%2Cc_limit/00004-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,5,https://assets.vogue.com/photos/6aa450229c7fdcf335a5d6d2/master/w_2560%2Cc_limit/00005-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,6,https://assets.vogue.com/photos/6aa45022373ec98caa977613/master/w_2560%2Cc_limit/00006-imitation-of-christ-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,7,https://assets.vogue.com/photos/6aa46a33365ed169eaddbc03/master/w_2560%2Cc_limit/00001-imitation-of-christ-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,8,https://assets.vogue.com/photos/6aa46a33f54ec4b21064b10a/master/w_2560%2Cc_limit/00002-imitation-of-christ-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,9,https://assets.vogue.com/photos/6aa46a33c3d42955bbcc301c/master/w_2560%2Cc_limit/00003-imitation-of-christ-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
spring-2027-ready-to-wear,Imitation Of Christ,10,https://assets.vogue.com/photos/6aa46a34c3b02680d15f8ff8/master/w_2560%2Cc_limit/00004-imitation-of-christ-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/imitation-of-christ
