season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Institution By Galib Gassanoff,1,https://assets.vogue.com/photos/6ab6397c867c872295c72dd5/master/w_2560%2Cc_limit/UMB00021.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,2,https://assets.vogue.com/photos/6ab63a0ab2f2cdb566d4a843/master/w_2560%2Cc_limit/UMB00050.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,3,https://assets.vogue.com/photos/6ab63a0c71e5da9baab53506/master/w_2560%2Cc_limit/UMB00068.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,4,https://assets.vogue.com/photos/6ab63a0d537f75faea9a3741/master/w_2560%2Cc_limit/UMB00093.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,5,https://assets.vogue.com/photos/6ab63a0f4c1edad2a1ed5e76/master/w_2560%2Cc_limit/UMB00117.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,6,https://assets.vogue.com/photos/6ab63a631036d5d629fafe1c/master/w_2560%2Cc_limit/UMB00135.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,7,https://assets.vogue.com/photos/6ab63a64b2f2cdb566d4a84a/master/w_2560%2Cc_limit/UMB00157.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,8,https://assets.vogue.com/photos/6ab63a66ade60422c0876963/master/w_2560%2Cc_limit/UMB00178.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,9,https://assets.vogue.com/photos/6ab6397c867c872295c72dd5/master/w_1280%2Cc_limit/UMB00021.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,10,https://assets.vogue.com/photos/6a73006d9686de25a2658fdf/master/w_1280%2Cc_limit/00001-institution-by-galib-gassanoff-spring-2027-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,11,https://assets.vogue.com/photos/69a1e9d20389cb91a10be8cc/master/w_1280%2Cc_limit/00001-institution-by-galib-gassanoff-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
spring-2027-ready-to-wear,Institution By Galib Gassanoff,12,https://assets.vogue.com/photos/68d68cdf61aa546c2e99b8d9/master/w_1280%2Cc_limit/00001-institution-by-galib-gassanoff-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/institution-by-galib-gassanoff
