season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Kate Barton,1,https://assets.vogue.com/photos/6aa358079cfb90d5da90a377/master/w_2560%2Cc_limit/00001-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,2,https://assets.vogue.com/photos/6aa35807e4564f1728388b8b/master/w_2560%2Cc_limit/00002-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,3,https://assets.vogue.com/photos/6aa35807ea0b9441690306d4/master/w_2560%2Cc_limit/00003-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,4,https://assets.vogue.com/photos/6aa3580ac692024f29f2b231/master/w_2560%2Cc_limit/00004-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,5,https://assets.vogue.com/photos/6aa358099da15518e29aa196/master/w_2560%2Cc_limit/00005-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,6,https://assets.vogue.com/photos/6aa3580a18f4ab5635a0075e/master/w_2560%2Cc_limit/00006-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,7,https://assets.vogue.com/photos/6aa357d12788131ab8a07ac2/master/w_2560%2Cc_limit/00001-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,8,https://assets.vogue.com/photos/6aa357d1093a23c192953d80/master/w_2560%2Cc_limit/00002-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,9,https://assets.vogue.com/photos/6aa357d1adfafb51252fa145/master/w_2560%2Cc_limit/00003-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,10,https://assets.vogue.com/photos/6aa357d30e73cb7e0f914a01/master/w_2560%2Cc_limit/00004-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,11,https://assets.vogue.com/photos/6aa357d3ea0b9441690306cd/master/w_2560%2Cc_limit/00005-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,12,https://assets.vogue.com/photos/6aa357d4363673b648e17740/master/w_2560%2Cc_limit/00006-kate-barton-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,13,https://assets.vogue.com/photos/6aa35937392f8a01d45fcf79/master/w_1280%2Cc_limit/00001-kate-barton-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,14,https://assets.vogue.com/photos/6a2bcae07401e829600d97a7/master/w_1280%2Cc_limit/00001-kate-barton-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,15,https://assets.vogue.com/photos/6990d99fc361e711f698702b/master/w_1280%2Cc_limit/00001-kate-barton-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,16,https://assets.vogue.com/photos/68c3298189c054e3a211a555/master/w_1280%2Cc_limit/00001-kate-barton-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,17,https://assets.vogue.com/photos/67aa99af5a5b518d6adfcd39/master/w_1280%2Cc_limit/00001-kate-barton-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
spring-2027-ready-to-wear,Kate Barton,18,https://assets.vogue.com/photos/66e0bb0b5449429f0c32dada/master/w_1280%2Cc_limit/00001-kate-barton-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/kate-barton
