season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Khaite,1,https://assets.vogue.com/photos/6aa6f74d68e9989fd437a99d/master/w_2560%2Cc_limit/00001-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,2,https://assets.vogue.com/photos/6aa6f74d6ac2bee91ce534f8/master/w_2560%2Cc_limit/00002-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,3,https://assets.vogue.com/photos/6aa6f74d91f360d97fdec3a1/master/w_2560%2Cc_limit/00003-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,4,https://assets.vogue.com/photos/6aa6f751ea2b89b7ae2164d8/master/w_2560%2Cc_limit/00004-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,5,https://assets.vogue.com/photos/6aa6f752f65a1de3071eeac7/master/w_2560%2Cc_limit/00005-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,6,https://assets.vogue.com/photos/6aa6f752c0995109725c4cb1/master/w_2560%2Cc_limit/00006-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,7,https://assets.vogue.com/photos/6aa6f808c5240ea50945159b/master/w_1280%2Cc_limit/00001-khaite-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,8,https://assets.vogue.com/photos/6a2027bd143199104286f032/master/w_1280%2Cc_limit/00001-khaite-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,9,https://assets.vogue.com/photos/699274edc46e49c9905ad28a/master/w_1280%2Cc_limit/00001-khaite-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,10,https://assets.vogue.com/photos/69333a8f23a5212b23ddb04c/master/w_1280%2Cc_limit/00001-khaite-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,11,https://assets.vogue.com/photos/68c6e06ee03f51970c880371/master/w_1280%2Cc_limit/00001-khaite-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
spring-2027-ready-to-wear,Khaite,12,https://assets.vogue.com/photos/683852c3be97964b326f3528/master/w_1280%2Cc_limit/00001-khaite-resort-2026-credit-hanna-tveite-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/khaite
