season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Lacca,1,https://assets.vogue.com/photos/6ab621061a75d77275fe184e/master/w_2560%2Cc_limit/00001-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,2,https://assets.vogue.com/photos/6ab62106cf5181efbb596357/master/w_2560%2Cc_limit/00002-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,3,https://assets.vogue.com/photos/6ab621064a1e0e4b6a3c375a/master/w_2560%2Cc_limit/00003-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,4,https://assets.vogue.com/photos/6ab62108a1df956fd961227f/master/w_2560%2Cc_limit/00004-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,5,https://assets.vogue.com/photos/6ab62108167da7fc95150810/master/w_2560%2Cc_limit/00005-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,6,https://assets.vogue.com/photos/6ab621081fa17d01eb2c81ae/master/w_2560%2Cc_limit/00006-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,7,https://assets.vogue.com/photos/6ab6210ada8ff5a62a3420ab/master/w_2560%2Cc_limit/00007-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,8,https://assets.vogue.com/photos/6ab6210acf5181efbb59635e/master/w_2560%2Cc_limit/00008-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,9,https://assets.vogue.com/photos/6ab62050f1d4a8b18e7b73d6/master/w_2560%2Cc_limit/00001-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,10,https://assets.vogue.com/photos/6ab620511a75d77275fe1825/master/w_2560%2Cc_limit/00002-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,11,https://assets.vogue.com/photos/6ab620501deb15139cbc14f7/master/w_2560%2Cc_limit/00003-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,12,https://assets.vogue.com/photos/6ab620526aac79d11d8b544f/master/w_2560%2Cc_limit/00004-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,13,https://assets.vogue.com/photos/6ab62052beee9df4b11fac73/master/w_2560%2Cc_limit/00005-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,14,https://assets.vogue.com/photos/6ab6205338d3999e07ee8912/master/w_2560%2Cc_limit/00006-lacca-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
spring-2027-ready-to-wear,Lacca,15,https://assets.vogue.com/photos/6ab623b9444958df2a7f5bac/master/w_1280%2Cc_limit/00001-lacca-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lacca
