season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Lafayette 148,1,https://assets.vogue.com/photos/6aa461e0373ec98caa977972/master/w_2560%2Cc_limit/00001-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,2,https://assets.vogue.com/photos/6aa461e067fe11be1afa8eae/master/w_2560%2Cc_limit/00002-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,3,https://assets.vogue.com/photos/6aa461e0d4a0661153cfcf3c/master/w_2560%2Cc_limit/00003-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,4,https://assets.vogue.com/photos/6aa461e386e33d8f0eddd9ef/master/w_2560%2Cc_limit/00004-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,5,https://assets.vogue.com/photos/6aa461e353a8a9db8c96ca4f/master/w_2560%2Cc_limit/00005-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,6,https://assets.vogue.com/photos/6aa461e3a66aa4c2df08c366/master/w_2560%2Cc_limit/00006-lafayette-148-new-york-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,7,https://assets.vogue.com/photos/6aa4625c1e877cdd507f12a0/master/w_2560%2Cc_limit/00002a-lafayette-148-new-york-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,8,https://assets.vogue.com/photos/6aa4625cd2a76a053008a142/master/w_2560%2Cc_limit/00006a-lafayette-148-new-york-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,9,https://assets.vogue.com/photos/6aa4625cd4a0661153cfcf5d/master/w_2560%2Cc_limit/00008a-lafayette-148-new-york-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
spring-2027-ready-to-wear,Lafayette 148,10,https://assets.vogue.com/photos/6aa4625ef7c57b5f8f83fa43/master/w_2560%2Cc_limit/00009a-lafayette-148-new-york-spring-2027-ready-to-wear-detail-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/lafayette-148
