season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Laquan Smith,1,https://assets.vogue.com/photos/6aa92d1925301ef4d522ac6d/master/w_2560%2Cc_limit/00001-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,2,https://assets.vogue.com/photos/6aa92d194ebf513e3991c6ab/master/w_2560%2Cc_limit/00002-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,3,https://assets.vogue.com/photos/6aa92d1aaad44d06f6c03296/master/w_2560%2Cc_limit/00003-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,4,https://assets.vogue.com/photos/6aa92d1bb93d5d68bf1edde3/master/w_2560%2Cc_limit/00004-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,5,https://assets.vogue.com/photos/6aa92d1b2b9868797b8879ef/master/w_2560%2Cc_limit/00005-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,6,https://assets.vogue.com/photos/6aa92d1c8b6cfaaed739394f/master/w_2560%2Cc_limit/00006-laquan-smith-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,7,https://assets.vogue.com/photos/6aa8a31f14f9c5a1f3ddeb54/master/w_1280%2Cc_limit/UMB00019.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,8,https://assets.vogue.com/photos/6991a9a0e40a1ce6ee1899b9/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,9,https://assets.vogue.com/photos/68ca73585b319888bfbc1939/master/w_1280%2Cc_limit/00001-laquan-smith-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,10,https://assets.vogue.com/photos/67aa37195fc268b29ccbbe2e/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,11,https://assets.vogue.com/photos/66df9cd12e559eb11dcf976b/master/w_1280%2Cc_limit/FIO00013.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
spring-2027-ready-to-wear,Laquan Smith,12,https://assets.vogue.com/photos/65cb200cce97090eba69de79/master/w_1280%2Cc_limit/00001-laquan-smith-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/laquan-smith
