season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Luar,1,https://assets.vogue.com/photos/6aa92b19a5f56b8a705403b1/master/w_2560%2Cc_limit/00001-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,2,https://assets.vogue.com/photos/6aa92b1965480a841907815a/master/w_2560%2Cc_limit/00002-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,3,https://assets.vogue.com/photos/6aa92b19b15c3aa2dfc7b2a5/master/w_2560%2Cc_limit/00003-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,4,https://assets.vogue.com/photos/6aa92b1d8ed9cc92eb3ddc80/master/w_2560%2Cc_limit/00004-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,5,https://assets.vogue.com/photos/6aa92b1c9e4ca6cf8b945460/master/w_2560%2Cc_limit/00005-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,6,https://assets.vogue.com/photos/6aa92b1cd6fbb7479165f9f0/master/w_2560%2Cc_limit/00006-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,7,https://assets.vogue.com/photos/6aa93133947c2b3553659cc0/master/w_2560%2Cc_limit/00001-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,8,https://assets.vogue.com/photos/6aa931338b6cfaaed7393988/master/w_2560%2Cc_limit/00002-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,9,https://assets.vogue.com/photos/6aa93133faa5ce0c6948a1c8/master/w_2560%2Cc_limit/00003-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,10,https://assets.vogue.com/photos/6aa93136aad44d06f6c032c4/master/w_2560%2Cc_limit/00004-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,11,https://assets.vogue.com/photos/6aa93136f367786d76da4680/master/w_2560%2Cc_limit/00005-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,12,https://assets.vogue.com/photos/6aa93136b15c3aa2dfc7b2d1/master/w_2560%2Cc_limit/00006-luar-spring-2027-ready-to-wear-details-credit-gorunway.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,13,https://assets.vogue.com/photos/6aa92bb5d3ed9f255c995a8c/master/w_1280%2Cc_limit/00001-luar-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,14,https://assets.vogue.com/photos/68c8bb54d7af0acdf0c0a755/master/w_1280%2Cc_limit/ISI00015.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,15,https://assets.vogue.com/photos/67ab22efc1ccda5723d4c271/master/w_1280%2Cc_limit/00001-luar-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,16,https://assets.vogue.com/photos/66e155f971ab2a8cb1da3209/master/w_1280%2Cc_limit/00001-luar-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,17,https://assets.vogue.com/photos/65cc6257521eac3d1c222f5c/master/w_1280%2Cc_limit/00001-luar-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
spring-2027-ready-to-wear,Luar,18,https://assets.vogue.com/photos/6502cff719524109908fb4a7/master/w_1280%2Cc_limit/00001-luar-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luar
