season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Luisa Beccaria,1,https://assets.vogue.com/photos/6ab3a79de61132e6cb2fdbc1/master/w_2560%2Cc_limit/00001-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,2,https://assets.vogue.com/photos/6ab3a79d2c272d27ff2ea322/master/w_2560%2Cc_limit/00002-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,3,https://assets.vogue.com/photos/6ab3a79d6375a57126f6e269/master/w_2560%2Cc_limit/00003-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,4,https://assets.vogue.com/photos/6ab3a7a1ca53e295a6f33b99/master/w_2560%2Cc_limit/00004-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,5,https://assets.vogue.com/photos/6ab3a7a132bbecb4e0943495/master/w_2560%2Cc_limit/00005-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,6,https://assets.vogue.com/photos/6ab3a7a17226303ca1536e83/master/w_2560%2Cc_limit/00006-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,7,https://assets.vogue.com/photos/6ab3a7a690cdea95c550f823/master/w_2560%2Cc_limit/00007-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,8,https://assets.vogue.com/photos/6ab3a7a52ab1a5522d6dc5e6/master/w_2560%2Cc_limit/00008-luisa-beccaria-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,9,https://assets.vogue.com/photos/6ab389930b7e076dc7a0da6e/master/w_1280%2Cc_limit/ISI00017.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,10,https://assets.vogue.com/photos/699ed6eb6a666c6e30debf6f/master/w_1280%2Cc_limit/00001-luisa-beccaria-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,11,https://assets.vogue.com/photos/68d4e69003d33aa29a5cd291/master/w_1280%2Cc_limit/00001-luisa-beccaria-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,12,https://assets.vogue.com/photos/67bf6018b917d179e1040909/master/w_1280%2Cc_limit/00001-luisa-beccaria-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,13,https://assets.vogue.com/photos/66eac02882ba90a8f1377559/master/w_1280%2Cc_limit/00001-luisa-beccaria-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
spring-2027-ready-to-wear,Luisa Beccaria,14,https://assets.vogue.com/photos/667981b9752727e8834e9464/master/w_1280%2Cc_limit/00001-luisa-beccaria-resort-2025-credit-angelica-carillo-brand.jpg,Resort 2025,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-beccaria
