season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Luisa Spagnoli,1,https://assets.vogue.com/photos/6ab6c2530553bcfdc335cac7/master/w_2560%2Cc_limit/00001-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,2,https://assets.vogue.com/photos/6ab6c2520553bcfdc335cac0/master/w_2560%2Cc_limit/00002-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,3,https://assets.vogue.com/photos/6ab6c253da5677f0ca56176d/master/w_2560%2Cc_limit/00003-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,4,https://assets.vogue.com/photos/6ab6c256babdf35ba65f69b9/master/w_2560%2Cc_limit/00004-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,5,https://assets.vogue.com/photos/6ab6c25521483a3e0e3ad399/master/w_2560%2Cc_limit/00005-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,6,https://assets.vogue.com/photos/6ab6c256ea64f154b71995db/master/w_2560%2Cc_limit/00006-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,7,https://assets.vogue.com/photos/6ab6c257867c872295c7337a/master/w_2560%2Cc_limit/00007-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,8,https://assets.vogue.com/photos/6ab6c25b384c0f0c1111d18f/master/w_2560%2Cc_limit/00008-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,9,https://assets.vogue.com/photos/6ab6c2c5104ef380ba1694f8/master/w_1280%2Cc_limit/00001-luisa-spagnoli-spring-2027-ready-to-wear-credit-brand-sponsored.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,10,https://assets.vogue.com/photos/69a43497fca02ff16875aa08/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,11,https://assets.vogue.com/photos/68d81aa0625f950b4b869196/master/w_1280%2Cc_limit/00001-luisa-spagnoli-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,12,https://assets.vogue.com/photos/67c324b084e16d398e1a552c/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,13,https://assets.vogue.com/photos/66f0541dde2944e9490c328e/master/w_1280%2Cc_limit/00001-luisa-spognoli-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
spring-2027-ready-to-wear,Luisa Spagnoli,14,https://assets.vogue.com/photos/65dca4951530a563a7df0acf/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/luisa-spagnoli
