season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Magda Butrym,1,https://assets.vogue.com/photos/6aa71d8e99741b7f914c7406/master/w_2560%2Cc_limit/00001-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,2,https://assets.vogue.com/photos/6aa71d8e8664427eed53a000/master/w_2560%2Cc_limit/00002-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,3,https://assets.vogue.com/photos/6aa71d8e913fec6ac39a2f35/master/w_2560%2Cc_limit/00003-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,4,https://assets.vogue.com/photos/6aa71d912ccb01af79d590ae/master/w_2560%2Cc_limit/00004-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,5,https://assets.vogue.com/photos/6aa71d90af8b0afa7f7f1351/master/w_2560%2Cc_limit/00005-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,6,https://assets.vogue.com/photos/6aa71d90403b4a115dfbb0cc/master/w_2560%2Cc_limit/00006-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,7,https://assets.vogue.com/photos/6aa71de2134937fdf6b02d60/master/w_1280%2Cc_limit/00001-magda-butrym-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,8,https://assets.vogue.com/photos/6a4c1c8fd6d2481c35bf112d/master/w_1280%2Cc_limit/00001-magda-butrym-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,9,https://assets.vogue.com/photos/69ae9145eb17ee3133889886/master/w_1280%2Cc_limit/00001-magda-butrym-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,10,https://assets.vogue.com/photos/697cd0ddbe46ef95e45b2464/master/w_1280%2Cc_limit/00001-magda-butrym-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,11,https://assets.vogue.com/photos/68e22a9e1fa3a1fe05aa8227/master/w_1280%2Cc_limit/_SDR0032.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
spring-2027-ready-to-wear,Magda Butrym,12,https://assets.vogue.com/photos/68629d5c4fa6994d01aabeff/master/w_1280%2Cc_limit/00001-magda-butrym-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/magda-butrym
