season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Maria Mcmanus,1,https://assets.vogue.com/photos/6aa83f18cc7bb7dfd5ca3049/master/w_2560%2Cc_limit/00001-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,2,https://assets.vogue.com/photos/6aa83f19d93144036b8e8451/master/w_2560%2Cc_limit/00002-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,3,https://assets.vogue.com/photos/6aa83f196d92aadd4b1b3195/master/w_2560%2Cc_limit/00003-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,4,https://assets.vogue.com/photos/6aa83f1bf1b96b47bccfa7cc/master/w_2560%2Cc_limit/00004-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,5,https://assets.vogue.com/photos/6aa83f1c6d92aadd4b1b31a0/master/w_2560%2Cc_limit/00005-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,6,https://assets.vogue.com/photos/6aa83f1cc032038a817f0f08/master/w_2560%2Cc_limit/00006-maria-mcmanus-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,7,https://assets.vogue.com/photos/6aa84629c0995109725c679a/master/w_2560%2Cc_limit/00001-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,8,https://assets.vogue.com/photos/6aa8462a583a35aed88c3817/master/w_2560%2Cc_limit/00002-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,9,https://assets.vogue.com/photos/6aa8462afbfc9de8b165fcbe/master/w_2560%2Cc_limit/00003-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,10,https://assets.vogue.com/photos/6aa8462d6d92aadd4b1b3238/master/w_2560%2Cc_limit/00004-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,11,https://assets.vogue.com/photos/6aa8462de45c3ba8a977b80f/master/w_2560%2Cc_limit/00005-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
spring-2027-ready-to-wear,Maria Mcmanus,12,https://assets.vogue.com/photos/6aa8462e96c4bd2db72d777e/master/w_2560%2Cc_limit/00006-maria-mcmanus-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/maria-mcmanus
