season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Masha Popova,1,https://assets.vogue.com/photos/6aad90723dbfd89053b79982/master/w_2560%2Cc_limit/00001-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,2,https://assets.vogue.com/photos/6aad907266a358f12f9b1f81/master/w_2560%2Cc_limit/00002-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,3,https://assets.vogue.com/photos/6aad90728d0e297f7783ca25/master/w_2560%2Cc_limit/00003-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,4,https://assets.vogue.com/photos/6aad9073f245f6ce31230908/master/w_2560%2Cc_limit/00004-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,5,https://assets.vogue.com/photos/6aad9074c38ea18e90adc216/master/w_2560%2Cc_limit/00005-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,6,https://assets.vogue.com/photos/6aad9074b260c740f7688f64/master/w_2560%2Cc_limit/00006-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,7,https://assets.vogue.com/photos/6aad9016b4ecb0e08c18c1fb/master/w_2560%2Cc_limit/00017-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,8,https://assets.vogue.com/photos/6aad9017b6e2d68c96bd2306/master/w_2560%2Cc_limit/00019-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,9,https://assets.vogue.com/photos/6aad90ddd084e46be6bafcdb/master/w_1280%2Cc_limit/00001-masha-popova-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,10,https://assets.vogue.com/photos/6999e5df6c222f510e5cd372/master/w_1280%2Cc_limit/00001-masha-popova-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,11,https://assets.vogue.com/photos/67bc5ac97561153bf2018a12/master/w_1280%2Cc_limit/00001-masha-popova-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,12,https://assets.vogue.com/photos/66e60214a48218002c255157/master/w_1280%2Cc_limit/00001-masha-popova-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,13,https://assets.vogue.com/photos/65cf509f941d138d3949ec26/master/w_1280%2Cc_limit/00001-masha-popova-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
spring-2027-ready-to-wear,Masha Popova,14,https://assets.vogue.com/photos/6506db1659c4fd7dc1f109a6/master/w_1280%2Cc_limit/00001-masha-popova-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/masha-popova
