season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Natasha Zinko,1,https://assets.vogue.com/photos/6aadb338c38ea18e90adc6bb/master/w_2560%2Cc_limit/00001-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,2,https://assets.vogue.com/photos/6aadb3387af3d3c01b3a5629/master/w_2560%2Cc_limit/00002-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,3,https://assets.vogue.com/photos/6aadb338c95d12d6b50597c2/master/w_2560%2Cc_limit/00003-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,4,https://assets.vogue.com/photos/6aadb33ac06692c6f4844115/master/w_2560%2Cc_limit/00004-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,5,https://assets.vogue.com/photos/6aadb33abc96a058c69531c3/master/w_2560%2Cc_limit/00005-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,6,https://assets.vogue.com/photos/6aadb33b99e6fd418b704515/master/w_2560%2Cc_limit/00006-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,7,https://assets.vogue.com/photos/6aadb3e0c46eb6248cd2c98b/master/w_1280%2Cc_limit/00001-natasha-zinko-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,8,https://assets.vogue.com/photos/6998e4bf7d9171f3aac7c0b0/master/w_1280%2Cc_limit/00001-natasha-zinko-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,9,https://assets.vogue.com/photos/68cdba1f38d4ec322137b155/master/w_1280%2Cc_limit/00001-natasha-zinko-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,10,https://assets.vogue.com/photos/68597d30f4bbf2b1b25e7436/master/w_1280%2Cc_limit/00001-natasha-zinko-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,11,https://assets.vogue.com/photos/67c04df2ee5613eaf9e594dd/master/w_1280%2Cc_limit/00001-natasha-zinko-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
spring-2027-ready-to-wear,Natasha Zinko,12,https://assets.vogue.com/photos/679273dd140897cc39db1a80/master/w_1280%2Cc_limit/00001-natasha-zinko-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/natasha-zinko
