season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Nihl,1,https://assets.vogue.com/photos/6aa3f1e62788131ab8a08657/master/w_2560%2Cc_limit/00001-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,2,https://assets.vogue.com/photos/6aa3f1e618bd62a0efad06dc/master/w_2560%2Cc_limit/00002-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,3,https://assets.vogue.com/photos/6aa3f1e67fcf6749770db80a/master/w_2560%2Cc_limit/00003-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,4,https://assets.vogue.com/photos/6aa3f1ee1e552c9c6109ae5b/master/w_2560%2Cc_limit/00004-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,5,https://assets.vogue.com/photos/6aa3f1eee4564f17283898d5/master/w_2560%2Cc_limit/00005-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,6,https://assets.vogue.com/photos/6aa3f1ef1b3177d09a63778d/master/w_2560%2Cc_limit/00006-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,7,https://assets.vogue.com/photos/6aa3f751f7c57b5f8f83eed4/master/w_1280%2Cc_limit/00001-nihl-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,8,https://assets.vogue.com/photos/698c4acd3040dea3bd0b02af/master/w_1280%2Cc_limit/00001-nihl-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,9,https://assets.vogue.com/photos/68c7665122649d2eb9425eba/master/w_1280%2Cc_limit/00001-nihl-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,10,https://assets.vogue.com/photos/67a666b2b636edc175618660/master/w_1280%2Cc_limit/00001-nihl-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,11,https://assets.vogue.com/photos/66dddef3e90ee1b5c34e7563/master/w_1280%2Cc_limit/00001-nihl-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
spring-2027-ready-to-wear,Nihl,12,https://assets.vogue.com/photos/65c8cb6fca2e6a18a62c72e4/master/w_1280%2Cc_limit/00001-nihl-fall-2024-mens-credit-brand.jpg,Fall 2024 Menswear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/nihl
