season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Pauline Dujancourt,1,https://assets.vogue.com/photos/6aaea226c7b5962ee45ea729/master/w_2560%2Cc_limit/00001-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,2,https://assets.vogue.com/photos/6aaea2276db603b67b0bd0da/master/w_2560%2Cc_limit/00002-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,3,https://assets.vogue.com/photos/6aaea2268ba274eddf52cf23/master/w_2560%2Cc_limit/00003-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,4,https://assets.vogue.com/photos/6aaea22860823f991da7af2f/master/w_2560%2Cc_limit/00004-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,5,https://assets.vogue.com/photos/6aaea228fc860d09363d8189/master/w_2560%2Cc_limit/00005-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,6,https://assets.vogue.com/photos/6aaea22866a358f12f9b24de/master/w_2560%2Cc_limit/00006-pauline-dujancourt-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,7,https://assets.vogue.com/photos/6aae8d5cad92be4cb6733aee/master/w_1280%2Cc_limit/ISI00028.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,8,https://assets.vogue.com/photos/699af8599673368ba2799e96/master/w_1280%2Cc_limit/00001-pauline-dujancourt-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,9,https://assets.vogue.com/photos/68cf247c4e2766a226a06e6b/master/w_1280%2Cc_limit/00001-pauline-dujancourt-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,10,https://assets.vogue.com/photos/67ba495ab546706fd2f3b0d9/master/w_1280%2Cc_limit/00001-pauline-dujancourt-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
spring-2027-ready-to-wear,Pauline Dujancourt,11,https://assets.vogue.com/photos/66e93a35781e24d78c9d96f4/master/w_1280%2Cc_limit/00001-pauline-dujancourt-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/pauline-dujancourt
