season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,R13,1,https://assets.vogue.com/photos/6aa057ff43ccb63503e6ef1f/master/w_2560%2Cc_limit/00001-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,2,https://assets.vogue.com/photos/6aa057ff908f13e9a6dcb033/master/w_2560%2Cc_limit/00002-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,3,https://assets.vogue.com/photos/6aa057ff309a0fc9c9845d85/master/w_2560%2Cc_limit/00003-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,4,https://assets.vogue.com/photos/6aa05800e41b8041455d7cdd/master/w_2560%2Cc_limit/00004-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,5,https://assets.vogue.com/photos/6aa058000451b9e5338a1b7a/master/w_2560%2Cc_limit/00005-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,6,https://assets.vogue.com/photos/6aa058016760566ca2cfd821/master/w_2560%2Cc_limit/00006-r13-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,7,https://assets.vogue.com/photos/6aa058e289be35efe5aa079a/master/w_2560%2Cc_limit/00008a-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,8,https://assets.vogue.com/photos/6aa058e1d0d3f2e67daf34d5/master/w_2560%2Cc_limit/00039a-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,9,https://assets.vogue.com/photos/6aa058e18785efa822224ed8/master/w_2560%2Cc_limit/00053a-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,10,https://assets.vogue.com/photos/6aa058e310312adefbbd7142/master/w_2560%2Cc_limit/00063a-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,11,https://assets.vogue.com/photos/6aa058e343ccb63503e6ef5e/master/w_2560%2Cc_limit/00084a-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,12,https://assets.vogue.com/photos/6aa058e41740382a0674749f/master/w_2560%2Cc_limit/00090-r13-spring-2027-ready-to-wear-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,13,https://assets.vogue.com/photos/6aa05a093783063163ecff81/master/w_1280%2Cc_limit/00001-r13-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,14,https://assets.vogue.com/photos/6a2a78e1db2ae11b747dba77/master/w_1280%2Cc_limit/00001-r13-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,15,https://assets.vogue.com/photos/698a03c83cec9c2e93a0acd3/master/w_1280%2Cc_limit/00001-r13-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,16,https://assets.vogue.com/photos/6931ad7b94b8515db61213a0/master/w_1280%2Cc_limit/00001-r13-pre-fall-2026-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,17,https://assets.vogue.com/photos/68bee50b795f3f71bafd0405/master/w_1280%2Cc_limit/00001-r13-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
spring-2027-ready-to-wear,R13,18,https://assets.vogue.com/photos/683db9e1019a3034f0300a4c/master/w_1280%2Cc_limit/00001-r13-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/r13
