season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Sally Lapointe,1,https://assets.vogue.com/photos/6aa17320f1bd0e712773c413/master/w_2560%2Cc_limit/00001-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,2,https://assets.vogue.com/photos/6aa1732008617f1fb76d296c/master/w_2560%2Cc_limit/00002-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,3,https://assets.vogue.com/photos/6aa17320d225dca888673eb4/master/w_2560%2Cc_limit/00003-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,4,https://assets.vogue.com/photos/6aa1732220a667ba67df78c7/master/w_2560%2Cc_limit/00004-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,5,https://assets.vogue.com/photos/6aa173227e6d1d857ac1ce17/master/w_2560%2Cc_limit/00005-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,6,https://assets.vogue.com/photos/6aa17322e9a1842afa8b539c/master/w_2560%2Cc_limit/00006-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,7,https://assets.vogue.com/photos/6aa173587e6d1d857ac1ce1e/master/w_1280%2Cc_limit/00001-lapointe-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,8,https://assets.vogue.com/photos/6a184b15e617d26fa5a0f349/master/w_1280%2Cc_limit/00001-lapointe-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,9,https://assets.vogue.com/photos/698f0afb30cbe9b5588fee25/master/w_1280%2Cc_limit/00001-lapointe-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,10,https://assets.vogue.com/photos/69307968b7d0fce9d462d709/master/w_1280%2Cc_limit/00001-lapointe-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,11,https://assets.vogue.com/photos/68c5c64c7d41880ae6516670/master/w_1280%2Cc_limit/00001-lapointe-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
spring-2027-ready-to-wear,Sally Lapointe,12,https://assets.vogue.com/photos/68373ba604536dd178cd6295/master/w_1280%2Cc_limit/00001-lapointe-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sally-lapointe
