season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Sergio Hudson,1,https://assets.vogue.com/photos/6aa7330265c911e083311294/master/w_2560%2Cc_limit/00001-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,2,https://assets.vogue.com/photos/6aa7330210e613a9f2cbcc85/master/w_2560%2Cc_limit/00002-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,3,https://assets.vogue.com/photos/6aa7330268e9989fd437ab93/master/w_2560%2Cc_limit/00003-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,4,https://assets.vogue.com/photos/6aa73304f0a75abf762ce961/master/w_2560%2Cc_limit/00004-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,5,https://assets.vogue.com/photos/6aa7330468e9989fd437ab9a/master/w_2560%2Cc_limit/00005-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,6,https://assets.vogue.com/photos/6aa733042ff34b9abf5cd5a2/master/w_2560%2Cc_limit/00006-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,7,https://assets.vogue.com/photos/6aa7338365c911e0833112a7/master/w_1280%2Cc_limit/00001-sergio-hudson-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,8,https://assets.vogue.com/photos/699064d2ec14a3c66ca79af5/master/w_1280%2Cc_limit/00001-sergio-hudson-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,9,https://assets.vogue.com/photos/68c51b8fcb52ce5643bf00ad/master/w_1280%2Cc_limit/00001-sergio-hudson-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,10,https://assets.vogue.com/photos/68530514e5b363811d745d56/master/w_1280%2Cc_limit/00001-sergio-hudson-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,11,https://assets.vogue.com/photos/67a6c29214537d8939e428b0/master/w_1280%2Cc_limit/00001-sergio-hudson-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
spring-2027-ready-to-wear,Sergio Hudson,12,https://assets.vogue.com/photos/66dcf6206058b647c0d4098f/master/w_1280%2Cc_limit/00001-sergio-hudson-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/sergio-hudson
