season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Stella Jean,1,https://assets.vogue.com/photos/6aa0121291c8750ccc3f1279/master/w_2560%2Cc_limit/00001-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,2,https://assets.vogue.com/photos/6aa012128fc74dfc1adfedb6/master/w_2560%2Cc_limit/00002-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,3,https://assets.vogue.com/photos/6aa012126760566ca2cfcff8/master/w_2560%2Cc_limit/00003-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,4,https://assets.vogue.com/photos/6aa012149cd186516394910c/master/w_2560%2Cc_limit/00004-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,5,https://assets.vogue.com/photos/6aa01214eb9c23c5b17500f0/master/w_2560%2Cc_limit/00005-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,6,https://assets.vogue.com/photos/6aa012148fc74dfc1adfedbd/master/w_2560%2Cc_limit/00006-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,7,https://assets.vogue.com/photos/6aa01246897801aebc731f28/master/w_1280%2Cc_limit/00001-stella-jean-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,8,https://assets.vogue.com/photos/68d7ecf73d15fc373427820f/master/w_1280%2Cc_limit/00001-stella-jean-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,9,https://assets.vogue.com/photos/68905adf1cffee30378a91cd/master/w_1280%2Cc_limit/00001-stella-jean-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,10,https://assets.vogue.com/photos/673b626ebb4c99ca097896c8/master/w_1280%2Cc_limit/00001-stella-jean-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,11,https://assets.vogue.com/photos/65d72643fabe167d1bd2ad64/master/w_1280%2Cc_limit/00001-stella-jean-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
spring-2027-ready-to-wear,Stella Jean,12,https://assets.vogue.com/photos/651ac2dc3a043ff3189af5d8/master/w_1280%2Cc_limit/00001-stella-jean-spring-2024-ready-to-wear-credit-brand.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/stella-jean
