season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Tanya Taylor,1,https://assets.vogue.com/photos/6aa8154a00a9514258498de6/master/w_2560%2Cc_limit/00001-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,2,https://assets.vogue.com/photos/6aa8154dfbfc9de8b165f987/master/w_2560%2Cc_limit/00002-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,3,https://assets.vogue.com/photos/6aa8154a83d5bc4b1ab0d05a/master/w_2560%2Cc_limit/00003-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,4,https://assets.vogue.com/photos/6aa8154e6fde3e7e4582962c/master/w_2560%2Cc_limit/00004-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,5,https://assets.vogue.com/photos/6aa81550134937fdf6b03fcc/master/w_2560%2Cc_limit/00005-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,6,https://assets.vogue.com/photos/6aa81552a565658f309e4e1e/master/w_2560%2Cc_limit/00006-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,7,https://assets.vogue.com/photos/6aa814fbd9578a00c8ef9603/master/w_1280%2Cc_limit/00001-tanya-taylor-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,8,https://assets.vogue.com/photos/6a219d83486d749e03a04861/master/w_1280%2Cc_limit/00001-tanya-taylor-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,9,https://assets.vogue.com/photos/698ca258c7f32488d87cd28c/master/w_1280%2Cc_limit/00001-tanya-taylor-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,10,https://assets.vogue.com/photos/6931bb76ff58f17556ccbddf/master/w_1280%2Cc_limit/00001-tanya-taylor-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,11,https://assets.vogue.com/photos/68c2efb40b36eb6c3b03b0db/master/w_1280%2Cc_limit/00001-tanya-taylor-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
spring-2027-ready-to-wear,Tanya Taylor,12,https://assets.vogue.com/photos/68485f016831fa29ee035117/master/w_1280%2Cc_limit/00001-tanya-taylor-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/tanya-taylor
