season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Toga,1,https://assets.vogue.com/photos/6aaebb1e4cc9fd591c85580d/master/w_2560%2Cc_limit/00001-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,2,https://assets.vogue.com/photos/6aaebb1eec0c0f9e34837786/master/w_2560%2Cc_limit/00002-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,3,https://assets.vogue.com/photos/6aaebb1ebc96a058c695361e/master/w_2560%2Cc_limit/00003-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,4,https://assets.vogue.com/photos/6aaebb20eddaacba7ae796a7/master/w_2560%2Cc_limit/00004-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,5,https://assets.vogue.com/photos/6aaebb2073da167a514d40d9/master/w_2560%2Cc_limit/00005-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,6,https://assets.vogue.com/photos/6aaebb213a6936b79cb54d49/master/w_2560%2Cc_limit/00006-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,7,https://assets.vogue.com/photos/6aaebb8c55895cc1ffb1d80b/master/w_1280%2Cc_limit/00001-toga-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,8,https://assets.vogue.com/photos/6999f53eb3b5930b88abe932/master/w_1280%2Cc_limit/00001-toga-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,9,https://assets.vogue.com/photos/68d3fc59bcf971a04d84d8b2/master/w_1280%2Cc_limit/00001-toga-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,10,https://assets.vogue.com/photos/67bb372a556384feb4f40d85/master/w_1280%2Cc_limit/00001-toga-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,11,https://assets.vogue.com/photos/66e88f1722519e0e5a5a52d6/master/w_1280%2Cc_limit/00001-toga-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
spring-2027-ready-to-wear,Toga,12,https://assets.vogue.com/photos/65d7481f423d11ef2169f160/master/w_1280%2Cc_limit/00001-toga-fall-2024-ready-to-wear-credit-brand.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/toga
