season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Ulla Johnson,1,https://assets.vogue.com/photos/6aa896ccd3ed9f255c994ace/master/w_2560%2Cc_limit/00001-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,2,https://assets.vogue.com/photos/6aa896cd2dc8b924e37e5928/master/w_2560%2Cc_limit/00002-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,3,https://assets.vogue.com/photos/6aa896cde45c3ba8a977bfb0/master/w_2560%2Cc_limit/00003-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,4,https://assets.vogue.com/photos/6aa896cfa2a2f46eaa3bd103/master/w_2560%2Cc_limit/00004-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,5,https://assets.vogue.com/photos/6aa896cf1ff44e0712c734b6/master/w_2560%2Cc_limit/00005-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,6,https://assets.vogue.com/photos/6aa896cf36b01e862453cf23/master/w_2560%2Cc_limit/00006-ulla-johnson-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,7,https://assets.vogue.com/photos/6aa89ae1d3ed9f255c994b71/master/w_2560%2Cc_limit/00001-ulla-johnson-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,8,https://assets.vogue.com/photos/6aa89ae1a5f56b8a7053f528/master/w_2560%2Cc_limit/00002-ulla-johnson-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,9,https://assets.vogue.com/photos/6aa89ae12dc8b924e37e599c/master/w_2560%2Cc_limit/00003-ulla-johnson-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
spring-2027-ready-to-wear,Ulla Johnson,10,https://assets.vogue.com/photos/6aa89ae425301ef4d5229d65/master/w_2560%2Cc_limit/00004-ulla-johnson-spring-2027-ready-to-wear-detail-credit-gorunway.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ulla-johnson
