season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Wiederhoeft,1,https://assets.vogue.com/photos/6aa457eb373ec98caa9777d3/master/w_2560%2Cc_limit/00002-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,2,https://assets.vogue.com/photos/6aa457eb684b1f1180459476/master/w_2560%2Cc_limit/00001-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,3,https://assets.vogue.com/photos/6aa457eee8b2e8d417606e0b/master/w_2560%2Cc_limit/00006-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,4,https://assets.vogue.com/photos/6aa457eb0597a1723a8849ca/master/w_2560%2Cc_limit/00003-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,5,https://assets.vogue.com/photos/6aa457ee684b1f1180459480/master/w_2560%2Cc_limit/00004-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,6,https://assets.vogue.com/photos/6aa457ee86e33d8f0eddd89d/master/w_2560%2Cc_limit/00005-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,7,https://assets.vogue.com/photos/6aa480c1a66aa4c2df08c6bb/master/w_1280%2Cc_limit/00002-wiederhoeft-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,8,https://assets.vogue.com/photos/68c519eb782c04fa00705702/master/w_1280%2Cc_limit/00001-wiederhoeft-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,9,https://assets.vogue.com/photos/66e0cb16255e87d00764db61/master/w_1280%2Cc_limit/00001-wiederhoeft-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,10,https://assets.vogue.com/photos/65cc16ea0e4d20dc48b7b9ce/master/w_1280%2Cc_limit/00001-wiederhoeft-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,11,https://assets.vogue.com/photos/6500b93dbbc0e55ab7b26ea8/master/w_1280%2Cc_limit/00001-wiederhoeft-ss24-rtw-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
spring-2027-ready-to-wear,Wiederhoeft,12,https://assets.vogue.com/photos/63ed5298fa8cb226383880a5/master/w_1280%2Cc_limit/00001-wiederhoeft-fall-2023-ready-to-wear-credit-gorunway.jpg,Fall 2023 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/wiederhoeft
