season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Yaku,1,https://assets.vogue.com/photos/6aafca78cccdb9c54f18a7d3/master/w_2560%2Cc_limit/00001-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,2,https://assets.vogue.com/photos/6aafca77a6601adc53c2c792/master/w_2560%2Cc_limit/00002-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,3,https://assets.vogue.com/photos/6aafca772cf33a965f5ed9b0/master/w_2560%2Cc_limit/00003-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,4,https://assets.vogue.com/photos/6aafca7cd71a0f2fa8efbb69/master/w_2560%2Cc_limit/00004-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,5,https://assets.vogue.com/photos/6aafca7dc2aad2ed770c430b/master/w_2560%2Cc_limit/00005-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,6,https://assets.vogue.com/photos/6aafca7dd81138c51ddcde0d/master/w_2560%2Cc_limit/00006-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,7,https://assets.vogue.com/photos/6aafca7fa506dd7ad1767ee5/master/w_2560%2Cc_limit/00007-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,8,https://assets.vogue.com/photos/6aafca7fe4a113d2b556b0c2/master/w_2560%2Cc_limit/00008-yaku-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,9,https://assets.vogue.com/photos/6aafaec4f1b25154bc67e30d/master/w_1280%2Cc_limit/OBY00046.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,10,https://assets.vogue.com/photos/6999e00f85ba1bdcbb34bd0d/master/w_1280%2Cc_limit/00001-yaku-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
spring-2027-ready-to-wear,Yaku,11,https://assets.vogue.com/photos/68cf1908ae3ff905bbd192d8/master/w_1280%2Cc_limit/00001-yaku-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/yaku
