season,designer,look_number,image_url,caption,source_url
tokyo-fall-2026,Tao,1,https://assets.vogue.com/photos/69c67b554c6135ab07098a8d/master/w_2560%2Cc_limit/00001-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,2,https://assets.vogue.com/photos/69c67b568c95341223c20778/master/w_2560%2Cc_limit/00002-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,3,https://assets.vogue.com/photos/69c67b591a8abf427ecc256e/master/w_2560%2Cc_limit/00003-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,4,https://assets.vogue.com/photos/69c67b5c7bda8e38bd2f594a/master/w_2560%2Cc_limit/00004-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,5,https://assets.vogue.com/photos/69c67b592cfd9b11a29ee4c6/master/w_2560%2Cc_limit/00005-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,6,https://assets.vogue.com/photos/69c67b60a12e945f189978cd/master/w_2560%2Cc_limit/00006-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,7,https://assets.vogue.com/photos/69c67b22e384bad2eba069a9/master/w_1280%2Cc_limit/00001-tao-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2026,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,8,https://assets.vogue.com/photos/690381c8ca92fee1cc4ad61e/master/w_1280%2Cc_limit/00001-tao-spring-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,9,https://assets.vogue.com/photos/67e53fbcf3a12f24984bb959/master/w_1280%2Cc_limit/00001-tao-fall-2025-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,10,https://assets.vogue.com/photos/6718e06a962d3c91d184d828/master/w_1280%2Cc_limit/00001-tao-spring-2025-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2025,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,11,https://assets.vogue.com/photos/660588bc1c4e730b0303b098/master/w_1280%2Cc_limit/00001-tao-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2024,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
tokyo-fall-2026,Tao,12,https://assets.vogue.com/photos/55c6512b08298d8be21cca4b/master/w_1280%2Cc_limit/00010fullscreen.jpg,Spring 2011 Ready-to-Wear,https://www.vogue.com/fashion-shows/tokyo-fall-2026/tao
