season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Attachment,1,https://assets.vogue.com/photos/6a61fcb61a4c23725642634c/master/w_2560%2Cc_limit/00001-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,2,https://assets.vogue.com/photos/6a61fcb6d647e527dfe31b54/master/w_2560%2Cc_limit/00002-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,3,https://assets.vogue.com/photos/6a61fcb6aef43efa49738453/master/w_2560%2Cc_limit/00003-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,4,https://assets.vogue.com/photos/6a61fcb9cf7d76ebff5d239e/master/w_2560%2Cc_limit/00004-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,5,https://assets.vogue.com/photos/6a61fcb9bf3e564af2e53bfd/master/w_2560%2Cc_limit/00005-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,6,https://assets.vogue.com/photos/6a61fcb9774664123652b13b/master/w_2560%2Cc_limit/00006-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,7,https://assets.vogue.com/photos/6a61fd19b3478adb6eea1082/master/w_1280%2Cc_limit/00001-attachment-spring-2027-menswear-tokyo-credit-brand.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,8,https://assets.vogue.com/photos/69b4317808651d1b9004947c/master/w_1280%2Cc_limit/00001-attachment-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,9,https://assets.vogue.com/photos/6882212d4b102f7f38fa74ff/master/w_1280%2Cc_limit/00001-attachment-spring-2026-menswear-tokyo-credit-brand.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,10,https://assets.vogue.com/photos/67ade93a23042f8f373aa3b7/master/w_1280%2Cc_limit/00001-attachment-fall-2025-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,11,https://assets.vogue.com/photos/66ab45595a48c31369d03bf0/master/w_1280%2Cc_limit/00001-attachment-spring-2025-menswear-tokyo-credit-brand.jpg,Tokyo Spring 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
tokyo-spring-2027,Attachment,12,https://assets.vogue.com/photos/65cb333a3f5e320f15ff64f9/master/w_1280%2Cc_limit/00001-attachment-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2024,https://www.vogue.com/fashion-shows/tokyo-spring-2027/attachment
