season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Chika Kisada,1,https://assets.vogue.com/photos/6a747fd389886bb8fe2af6f8/master/w_2560%2Cc_limit/00001-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,2,https://assets.vogue.com/photos/6a747fd38696348c9cdcc581/master/w_2560%2Cc_limit/00002-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,3,https://assets.vogue.com/photos/6a747fd3a91d17d0127c27fe/master/w_2560%2Cc_limit/00003-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,4,https://assets.vogue.com/photos/6a747fd568977b1d8d2e12cd/master/w_2560%2Cc_limit/00004-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,5,https://assets.vogue.com/photos/6a747fd5cd072ba41845ce92/master/w_2560%2Cc_limit/00005-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,6,https://assets.vogue.com/photos/6a747fd507a7be57775dd2ed/master/w_2560%2Cc_limit/00006-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,7,https://assets.vogue.com/photos/6a747f9386ada39e2e5c3899/master/w_2560%2Cc_limit/00001a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,8,https://assets.vogue.com/photos/6a747f938ce6e6fc96b734be/master/w_2560%2Cc_limit/00002a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,9,https://assets.vogue.com/photos/6a747f932fdf7eaa8487de1c/master/w_2560%2Cc_limit/00003a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,10,https://assets.vogue.com/photos/6a747f951fef9ca80e13958e/master/w_2560%2Cc_limit/00005a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,11,https://assets.vogue.com/photos/6a747f95f279d8ded2f2f672/master/w_2560%2Cc_limit/00012a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,12,https://assets.vogue.com/photos/6a747f95f279d8ded2f2f670/master/w_2560%2Cc_limit/00020a-chika-kisada-spring-2027-ready-to-wear-tokyo-details-credit-brand.jpg,Detail Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,13,https://assets.vogue.com/photos/6a748082d7a3056363862070/master/w_1280%2Cc_limit/00001-chika-kisada-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,14,https://assets.vogue.com/photos/68ba9f529c84f7f1136514e4/master/w_1280%2Cc_limit/00001-chika-kisada-spring-2026-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,15,https://assets.vogue.com/photos/67dd3b108564ed4f7302a41e/master/w_1280%2Cc_limit/00001-chika-kisada-fall-2025-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,16,https://assets.vogue.com/photos/66daed1fa927fb76d8e5a9ff/master/w_1280%2Cc_limit/00001-chika-kisada-spring-2025-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Spring 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,17,https://assets.vogue.com/photos/65eed92de66e9ab2830594ed/master/w_1280%2Cc_limit/00001-chika-kisada-fall-2024-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Fall 2024,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
tokyo-spring-2027,Chika Kisada,18,https://assets.vogue.com/photos/641044a71f809bc8179b6955/master/w_1280%2Cc_limit/00001-chika-kisada-fall-2023-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2023,https://www.vogue.com/fashion-shows/tokyo-spring-2027/chika-kisada
